YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Caddo, OK",40015,22154,8345,27.8,6514
1997-01-01,"Caddo, OK",40015,25045,7107,23.8,6688
1998-01-01,"Caddo, OK",40015,26561,7212,24.3,6649
1999-01-01,"Caddo, OK",40015,26995,5969,20.5,6625
2000-01-01,"Caddo, OK",40015,28196,5828,20.2,6663
2001-01-01,"Caddo, OK",40015,27806,5944,20.7,6597
2002-01-01,"Caddo, OK",40015,27869,6038,20.8,6594
2003-01-01,"Caddo, OK",40015,28972,5464,18.8,6476
2004-01-01,"Caddo, OK",40015,28860,5322,18.3,6295
2005-01-01,"Caddo, OK",40015,33974,6065,21.2,6069
2006-01-01,"Caddo, OK",40015,31368,6268,21.9,5990
2007-01-01,"Caddo, OK",40015,34378,5477,19.6,5950
2008-01-01,"Caddo, OK",40015,33111,5924,21.3,5923
2009-01-01,"Caddo, OK",40015,35434,6090,21.9,5881
2010-01-01,"Caddo, OK",40015,33691,5931,21.0,5895
2011-01-01,"Caddo, OK",40015,34512,5878,21.0,5925
2012-01-01,"Caddo, OK",40015,33975,5832,21.0,5942
2013-01-01,"Caddo, OK",40015,34076,5814,21.0,5962
2014-01-01,"Caddo, OK",40015,33847,5800,20.0,5977
2015-01-01,"Caddo, OK",40015,33786,5795,20.0,5992
2016-01-01,"Caddo, OK",40015,33655,5791,20.0,6003
2017-01-01,"Caddo, OK",40015,33578,5791,20.0,6013
2018-01-01,"Caddo, OK",40015,33495,5791,20.0,6020
2019-01-01,"Caddo, OK",40015,33435,5792,20.0,6026
