YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Campbell, VA",51031,32980,5238,10.4,8324
1997-01-01,"Campbell, VA",51031,34895,5606,11.0,8386
1998-01-01,"Campbell, VA",51031,37291,5423,10.6,8380
1999-01-01,"Campbell, VA",51031,36457,5066,10.0,8478
2000-01-01,"Campbell, VA",51031,38200,4861,9.6,8498
2001-01-01,"Campbell, VA",51031,37198,4873,9.6,8624
2002-01-01,"Campbell, VA",51031,37373,5502,10.8,8654
2003-01-01,"Campbell, VA",51031,38527,5953,11.6,8841
2004-01-01,"Campbell, VA",51031,40058,5792,11.1,8815
2005-01-01,"Campbell, VA",51031,40230,5770,11.2,8906
2006-01-01,"Campbell, VA",51031,41225,6152,11.8,8940
2007-01-01,"Campbell, VA",51031,43641,6028,11.6,8938
2008-01-01,"Campbell, VA",51031,43055,6334,12.1,8813
2009-01-01,"Campbell, VA",51031,44983,6859,13.1,8734
2010-01-01,"Campbell, VA",51031,45791,6833,12.0,8565
2011-01-01,"Campbell, VA",51031,45806,6633,12.0,8401
2012-01-01,"Campbell, VA",51031,44948,6435,12.0,8215
2013-01-01,"Campbell, VA",51031,43634,6140,11.0,8044
2014-01-01,"Campbell, VA",51031,41880,5817,11.0,7890
2015-01-01,"Campbell, VA",51031,39885,5455,10.0,7771
2016-01-01,"Campbell, VA",51031,37756,5096,10.0,7691
2017-01-01,"Campbell, VA",51031,35660,4753,9.0,7661
2018-01-01,"Campbell, VA",51031,33735,4457,9.0,7682
2019-01-01,"Campbell, VA",51031,32125,4227,8.0,7755
