YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Carroll, MD",24013,52085,6180,4.3,23730
1997-01-01,"Carroll, MD",24013,55906,7320,4.9,25408
1998-01-01,"Carroll, MD",24013,58172,6891,4.5,26231
1999-01-01,"Carroll, MD",24013,58295,6495,4.4,26823
2000-01-01,"Carroll, MD",24013,61723,6461,4.3,27224
2001-01-01,"Carroll, MD",24013,61605,6367,4.1,27472
2002-01-01,"Carroll, MD",24013,64492,7199,4.5,27528
2003-01-01,"Carroll, MD",24013,66617,8084,5.0,28127
2004-01-01,"Carroll, MD",24013,68815,8405,5.1,28832
2005-01-01,"Carroll, MD",24013,74206,6128,3.7,28792
2006-01-01,"Carroll, MD",24013,73761,6595,4.0,28940
2007-01-01,"Carroll, MD",24013,79803,7696,4.7,28616
2008-01-01,"Carroll, MD",24013,78348,9350,5.6,28320
2009-01-01,"Carroll, MD",24013,78418,9735,5.9,27964
2010-01-01,"Carroll, MD",24013,78001,10070,6.0,27825
2011-01-01,"Carroll, MD",24013,77913,10222,6.0,27790
2012-01-01,"Carroll, MD",24013,77895,10289,6.0,27776
2013-01-01,"Carroll, MD",24013,77897,10321,6.0,27769
2014-01-01,"Carroll, MD",24013,77903,10338,6.0,27765
2015-01-01,"Carroll, MD",24013,77910,10348,6.0,27762
2016-01-01,"Carroll, MD",24013,77916,10355,6.0,27760
2017-01-01,"Carroll, MD",24013,77919,10360,6.0,27758
2018-01-01,"Carroll, MD",24013,77922,10363,6.0,27757
2019-01-01,"Carroll, MD",24013,77923,10366,6.0,27756
