YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Cerro Gordo, IA",19033,32589,4192,9.0,7389
1997-01-01,"Cerro Gordo, IA",19033,35631,4366,9.5,7477
1998-01-01,"Cerro Gordo, IA",19033,36631,4228,9.3,7461
1999-01-01,"Cerro Gordo, IA",19033,35927,3924,8.6,7350
2000-01-01,"Cerro Gordo, IA",19033,37503,3721,8.2,7243
2001-01-01,"Cerro Gordo, IA",19033,36892,3716,8.3,7052
2002-01-01,"Cerro Gordo, IA",19033,37303,4050,9.1,6975
2003-01-01,"Cerro Gordo, IA",19033,37794,3997,9.0,6926
2004-01-01,"Cerro Gordo, IA",19033,40045,4603,10.4,6644
2005-01-01,"Cerro Gordo, IA",19033,39414,4492,10.4,6502
2006-01-01,"Cerro Gordo, IA",19033,40750,4522,10.4,6389
2007-01-01,"Cerro Gordo, IA",19033,45039,4886,11.4,6330
2008-01-01,"Cerro Gordo, IA",19033,45023,5595,13.1,6176
2009-01-01,"Cerro Gordo, IA",19033,44494,4496,10.6,6249
2010-01-01,"Cerro Gordo, IA",19033,44355,4784,11.0,6030
2011-01-01,"Cerro Gordo, IA",19033,45453,5021,11.0,5892
2012-01-01,"Cerro Gordo, IA",19033,46489,5163,12.0,5777
2013-01-01,"Cerro Gordo, IA",19033,47341,5248,12.0,5666
2014-01-01,"Cerro Gordo, IA",19033,48137,5335,12.0,5550
2015-01-01,"Cerro Gordo, IA",19033,48935,5426,13.0,5434
2016-01-01,"Cerro Gordo, IA",19033,49743,5519,13.0,5316
2017-01-01,"Cerro Gordo, IA",19033,50557,5614,13.0,5199
2018-01-01,"Cerro Gordo, IA",19033,51373,5708,13.0,5081
2019-01-01,"Cerro Gordo, IA",19033,52191,5802,14.0,4963
