YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Cheboygan, MI",26031,27622,3314,14.3,3885
1997-01-01,"Cheboygan, MI",26031,29623,3007,12.5,3957
1998-01-01,"Cheboygan, MI",26031,30681,3238,13.3,3930
1999-01-01,"Cheboygan, MI",26031,32460,3038,11.6,3920
2000-01-01,"Cheboygan, MI",26031,34330,2987,11.2,4025
2001-01-01,"Cheboygan, MI",26031,33511,3000,11.1,3975
2002-01-01,"Cheboygan, MI",26031,33572,3252,11.9,3945
2003-01-01,"Cheboygan, MI",26031,34355,3118,11.5,4031
2004-01-01,"Cheboygan, MI",26031,35659,3563,13.1,4070
2005-01-01,"Cheboygan, MI",26031,36580,3794,14.0,4097
2006-01-01,"Cheboygan, MI",26031,36367,4119,15.3,4016
2007-01-01,"Cheboygan, MI",26031,38335,3938,14.9,3711
2008-01-01,"Cheboygan, MI",26031,37851,4730,18.2,3702
2009-01-01,"Cheboygan, MI",26031,36860,3993,15.5,3595
2010-01-01,"Cheboygan, MI",26031,36030,4106,16.0,3628
2011-01-01,"Cheboygan, MI",26031,35793,3961,15.0,3638
2012-01-01,"Cheboygan, MI",26031,35428,3947,15.0,3661
2013-01-01,"Cheboygan, MI",26031,35274,3875,15.0,3680
2014-01-01,"Cheboygan, MI",26031,35134,3846,15.0,3700
2015-01-01,"Cheboygan, MI",26031,35088,3810,14.0,3718
2016-01-01,"Cheboygan, MI",26031,35075,3793,14.0,3734
2017-01-01,"Cheboygan, MI",26031,35105,3780,14.0,3747
2018-01-01,"Cheboygan, MI",26031,35152,3777,14.0,3756
2019-01-01,"Cheboygan, MI",26031,35213,3778,14.0,3762
