YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Clare, MI",26035,23671,5667,19.7,5314
1997-01-01,"Clare, MI",26035,25237,5055,17.0,5396
1998-01-01,"Clare, MI",26035,26801,5364,17.8,5675
1999-01-01,"Clare, MI",26035,28325,4706,15.2,5656
2000-01-01,"Clare, MI",26035,29791,4609,14.9,5643
2001-01-01,"Clare, MI",26035,28962,4666,14.9,5687
2002-01-01,"Clare, MI",26035,29150,5003,16.0,5567
2003-01-01,"Clare, MI",26035,30028,4581,14.6,5545
2004-01-01,"Clare, MI",26035,31277,5221,16.7,5481
2005-01-01,"Clare, MI",26035,33919,5510,17.8,5270
2006-01-01,"Clare, MI",26035,31943,6056,19.7,5319
2007-01-01,"Clare, MI",26035,33639,6054,20.1,5116
2008-01-01,"Clare, MI",26035,34907,5691,19.1,5101
2009-01-01,"Clare, MI",26035,32568,6553,22.1,4934
2010-01-01,"Clare, MI",26035,33398,6558,22.0,4903
2011-01-01,"Clare, MI",26035,33228,6646,22.0,4857
2012-01-01,"Clare, MI",26035,33080,6727,23.0,4829
2013-01-01,"Clare, MI",26035,32955,6773,23.0,4808
2014-01-01,"Clare, MI",26035,32822,6806,23.0,4795
2015-01-01,"Clare, MI",26035,32701,6822,23.0,4788
2016-01-01,"Clare, MI",26035,32590,6827,23.0,4787
2017-01-01,"Clare, MI",26035,32493,6822,23.0,4789
2018-01-01,"Clare, MI",26035,32410,6812,23.0,4793
2019-01-01,"Clare, MI",26035,32342,6797,23.0,4799
