YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Clarke, MS",28023,23669,3300,18.3,3316
1997-01-01,"Clarke, MS",28023,26236,2732,14.8,3406
1998-01-01,"Clarke, MS",28023,27030,2926,15.8,3440
1999-01-01,"Clarke, MS",28023,26763,3398,19.0,3544
2000-01-01,"Clarke, MS",28023,27759,3001,16.9,3517
2001-01-01,"Clarke, MS",28023,27161,3134,17.7,3463
2002-01-01,"Clarke, MS",28023,27260,3213,18.1,3415
2003-01-01,"Clarke, MS",28023,27265,3313,18.9,3386
2004-01-01,"Clarke, MS",28023,28099,3466,19.7,3237
2005-01-01,"Clarke, MS",28023,31184,3491,20.0,3234
2006-01-01,"Clarke, MS",28023,26532,4084,23.5,3251
2007-01-01,"Clarke, MS",28023,30833,3479,20.3,3197
2008-01-01,"Clarke, MS",28023,33264,3621,21.1,3043
2009-01-01,"Clarke, MS",28023,32093,3763,22.2,2935
2010-01-01,"Clarke, MS",28023,33559,3870,22.0,2799
2011-01-01,"Clarke, MS",28023,34175,4112,24.0,2725
2012-01-01,"Clarke, MS",28023,35027,4263,25.0,2655
2013-01-01,"Clarke, MS",28023,36110,4385,26.0,2554
2014-01-01,"Clarke, MS",28023,37331,4526,27.0,2430
2015-01-01,"Clarke, MS",28023,38632,4696,28.0,2295
2016-01-01,"Clarke, MS",28023,40022,4886,29.0,2153
2017-01-01,"Clarke, MS",28023,41528,5090,31.0,2000
2018-01-01,"Clarke, MS",28023,43172,5310,32.0,1834
2019-01-01,"Clarke, MS",28023,44962,5548,34.0,1652
