YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Clay, NC",37043,25656,1256,15.4,1200
1997-01-01,"Clay, NC",37043,26800,1311,15.2,1238
1998-01-01,"Clay, NC",37043,28614,1328,15.1,1268
1999-01-01,"Clay, NC",37043,30466,1079,12.3,1267
2000-01-01,"Clay, NC",37043,31893,1209,13.5,1302
2001-01-01,"Clay, NC",37043,30746,1271,14.0,1286
2002-01-01,"Clay, NC",37043,31005,1325,14.3,1262
2003-01-01,"Clay, NC",37043,31479,1202,12.7,1268
2004-01-01,"Clay, NC",37043,32781,1232,12.7,1274
2005-01-01,"Clay, NC",37043,34137,1283,13.3,1304
2006-01-01,"Clay, NC",37043,36098,1481,15.0,1323
2007-01-01,"Clay, NC",37043,37419,1442,14.2,1420
2008-01-01,"Clay, NC",37043,38049,1565,15.2,1430
2009-01-01,"Clay, NC",37043,39298,1725,16.9,1470
2010-01-01,"Clay, NC",37043,40041,1790,17.0,1517
2011-01-01,"Clay, NC",37043,40781,1869,18.0,1546
2012-01-01,"Clay, NC",37043,41482,1944,18.0,1576
2013-01-01,"Clay, NC",37043,42146,2016,19.0,1606
2014-01-01,"Clay, NC",37043,42774,2087,19.0,1634
2015-01-01,"Clay, NC",37043,43365,2155,20.0,1660
2016-01-01,"Clay, NC",37043,43923,2220,21.0,1686
2017-01-01,"Clay, NC",37043,44448,2283,21.0,1711
2018-01-01,"Clay, NC",37043,44942,2343,22.0,1735
2019-01-01,"Clay, NC",37043,45406,2400,22.0,1757
