YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Colfax, NE",31037,28837,898,8.6,2006
1997-01-01,"Colfax, NE",31037,31357,851,8.0,2158
1998-01-01,"Colfax, NE",31037,31839,1112,10.4,2175
1999-01-01,"Colfax, NE",31037,34742,1067,10.3,2142
2000-01-01,"Colfax, NE",31037,36852,911,8.8,2162
2001-01-01,"Colfax, NE",31037,36622,934,9.0,2172
2002-01-01,"Colfax, NE",31037,36288,995,9.5,2128
2003-01-01,"Colfax, NE",31037,37186,995,9.5,2156
2004-01-01,"Colfax, NE",31037,37620,983,9.5,2186
2005-01-01,"Colfax, NE",31037,39705,1159,11.3,2148
2006-01-01,"Colfax, NE",31037,43402,1001,10.1,2103
2007-01-01,"Colfax, NE",31037,42057,1071,10.9,2126
2008-01-01,"Colfax, NE",31037,45708,926,9.4,2242
2009-01-01,"Colfax, NE",31037,42810,1120,11.1,2253
2010-01-01,"Colfax, NE",31037,44766,1092,10.0,2206
2011-01-01,"Colfax, NE",31037,45693,1062,10.0,2189
2012-01-01,"Colfax, NE",31037,46130,1047,10.0,2198
2013-01-01,"Colfax, NE",31037,46313,1055,10.0,2208
2014-01-01,"Colfax, NE",31037,46573,1064,10.0,2210
2015-01-01,"Colfax, NE",31037,46897,1066,10.0,2210
2016-01-01,"Colfax, NE",31037,47189,1065,10.0,2211
2017-01-01,"Colfax, NE",31037,47426,1066,10.0,2212
2018-01-01,"Colfax, NE",31037,47632,1068,10.0,2214
2019-01-01,"Colfax, NE",31037,47824,1069,10.0,2215
