YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Conecuh, AL",1035,21610,3982,28.0,2461
1997-01-01,"Conecuh, AL",1035,22643,3833,27.4,2386
1998-01-01,"Conecuh, AL",1035,24100,3571,25.7,2337
1999-01-01,"Conecuh, AL",1035,23069,3408,24.2,2211
2000-01-01,"Conecuh, AL",1035,23683,3157,22.8,2159
2001-01-01,"Conecuh, AL",1035,23177,3204,23.5,2145
2002-01-01,"Conecuh, AL",1035,23366,3060,22.6,2110
2003-01-01,"Conecuh, AL",1035,23622,2952,22.0,2061
2004-01-01,"Conecuh, AL",1035,24334,3044,23.1,1853
2005-01-01,"Conecuh, AL",1035,24587,3640,27.7,1847
2006-01-01,"Conecuh, AL",1035,25992,3498,26.3,1829
2007-01-01,"Conecuh, AL",1035,27555,3213,24.7,1824
2008-01-01,"Conecuh, AL",1035,27068,3223,24.9,1671
2009-01-01,"Conecuh, AL",1035,26882,3529,27.5,1662
2010-01-01,"Conecuh, AL",1035,27909,3575,27.0,1628
2011-01-01,"Conecuh, AL",1035,28588,3571,27.0,1601
2012-01-01,"Conecuh, AL",1035,28991,3552,27.0,1567
2013-01-01,"Conecuh, AL",1035,29282,3539,27.0,1534
2014-01-01,"Conecuh, AL",1035,29532,3537,27.0,1501
2015-01-01,"Conecuh, AL",1035,29781,3543,27.0,1471
2016-01-01,"Conecuh, AL",1035,30037,3554,28.0,1442
2017-01-01,"Conecuh, AL",1035,30295,3567,28.0,1416
2018-01-01,"Conecuh, AL",1035,30549,3579,28.0,1391
2019-01-01,"Conecuh, AL",1035,30794,3591,28.0,1368
