YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Cowlitz, WA",53015,35723,11370,12.6,17052
1997-01-01,"Cowlitz, WA",53015,37189,11701,12.8,17473
1998-01-01,"Cowlitz, WA",53015,38819,11755,12.8,17641
1999-01-01,"Cowlitz, WA",53015,38649,11797,12.8,17714
2000-01-01,"Cowlitz, WA",53015,40457,11535,12.5,17931
2001-01-01,"Cowlitz, WA",53015,39061,11658,12.5,17688
2002-01-01,"Cowlitz, WA",53015,39410,11793,12.5,17711
2003-01-01,"Cowlitz, WA",53015,40428,12988,13.7,17779
2004-01-01,"Cowlitz, WA",53015,41893,13783,14.3,17921
2005-01-01,"Cowlitz, WA",53015,42592,14302,15.0,17911
2006-01-01,"Cowlitz, WA",53015,44337,15414,15.7,18090
2007-01-01,"Cowlitz, WA",53015,44814,15185,15.4,18119
2008-01-01,"Cowlitz, WA",53015,47832,14747,14.8,17930
2009-01-01,"Cowlitz, WA",53015,45839,16023,16.0,17715
2010-01-01,"Cowlitz, WA",53015,47289,16938,16.0,17824
2011-01-01,"Cowlitz, WA",53015,48777,17780,17.0,17929
2012-01-01,"Cowlitz, WA",53015,50376,18618,18.0,18005
2013-01-01,"Cowlitz, WA",53015,51986,19523,18.0,18053
2014-01-01,"Cowlitz, WA",53015,53672,20523,19.0,18090
2015-01-01,"Cowlitz, WA",53015,55491,21630,20.0,18127
2016-01-01,"Cowlitz, WA",53015,57483,22849,21.0,18170
2017-01-01,"Cowlitz, WA",53015,59670,24186,22.0,18218
2018-01-01,"Cowlitz, WA",53015,62071,25650,23.0,18272
2019-01-01,"Cowlitz, WA",53015,64703,27254,25.0,18331
