YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Crawford, MI",26039,27904,1993,14.9,2164
1997-01-01,"Crawford, MI",26039,29587,2011,14.6,2270
1998-01-01,"Crawford, MI",26039,30332,2027,14.6,2334
1999-01-01,"Crawford, MI",26039,32026,1816,13.0,2267
2000-01-01,"Crawford, MI",26039,34044,1876,13.3,2264
2001-01-01,"Crawford, MI",26039,33059,1843,12.9,2239
2002-01-01,"Crawford, MI",26039,32612,2006,13.9,2168
2003-01-01,"Crawford, MI",26039,32773,1802,12.5,2107
2004-01-01,"Crawford, MI",26039,34150,2037,14.1,2103
2005-01-01,"Crawford, MI",26039,34228,2242,15.7,2056
2006-01-01,"Crawford, MI",26039,36705,2429,17.1,2020
2007-01-01,"Crawford, MI",26039,35979,2038,14.7,1901
2008-01-01,"Crawford, MI",26039,37396,2453,17.8,1915
2009-01-01,"Crawford, MI",26039,35866,2593,19.2,1821
2010-01-01,"Crawford, MI",26039,35930,2683,20.0,1808
2011-01-01,"Crawford, MI",26039,35659,2743,20.0,1806
2012-01-01,"Crawford, MI",26039,35173,2787,21.0,1820
2013-01-01,"Crawford, MI",26039,34504,2800,21.0,1852
2014-01-01,"Crawford, MI",26039,33698,2783,22.0,1901
2015-01-01,"Crawford, MI",26039,32799,2731,21.0,1965
2016-01-01,"Crawford, MI",26039,31857,2646,21.0,2041
2017-01-01,"Crawford, MI",26039,30924,2531,20.0,2127
2018-01-01,"Crawford, MI",26039,30057,2390,19.0,2217
2019-01-01,"Crawford, MI",26039,29310,2231,17.0,2307
