YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Culpeper, VA",51047,38192,3318,10.7,5040
1997-01-01,"Culpeper, VA",51047,41324,3756,11.7,5166
1998-01-01,"Culpeper, VA",51047,44174,3441,10.5,5247
1999-01-01,"Culpeper, VA",51047,43960,3006,9.2,5327
2000-01-01,"Culpeper, VA",51047,46546,3050,9.0,5522
2001-01-01,"Culpeper, VA",51047,46037,3019,8.6,5580
2002-01-01,"Culpeper, VA",51047,47804,3271,8.8,5627
2003-01-01,"Culpeper, VA",51047,50094,3565,9.2,5780
2004-01-01,"Culpeper, VA",51047,52707,3613,8.8,6227
2005-01-01,"Culpeper, VA",51047,52889,3722,9.1,6489
2006-01-01,"Culpeper, VA",51047,56507,3620,8.4,6997
2007-01-01,"Culpeper, VA",51047,60341,3621,8.3,7363
2008-01-01,"Culpeper, VA",51047,63248,3612,8.1,7482
2009-01-01,"Culpeper, VA",51047,61217,4296,9.6,7394
2010-01-01,"Culpeper, VA",51047,63538,4174,9.0,7755
2011-01-01,"Culpeper, VA",51047,65702,4191,8.0,8022
2012-01-01,"Culpeper, VA",51047,67355,4234,8.0,8220
2013-01-01,"Culpeper, VA",51047,68651,4278,8.0,8376
2014-01-01,"Culpeper, VA",51047,69735,4321,8.0,8509
2015-01-01,"Culpeper, VA",51047,70690,4361,8.0,8629
2016-01-01,"Culpeper, VA",51047,71556,4398,8.0,8738
2017-01-01,"Culpeper, VA",51047,72353,4433,8.0,8839
2018-01-01,"Culpeper, VA",51047,73088,4466,8.0,8932
2019-01-01,"Culpeper, VA",51047,73766,4496,8.0,9018
