YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Davis, IA",19051,27195,1172,13.9,1398
1997-01-01,"Davis, IA",19051,30349,1174,13.9,1330
1998-01-01,"Davis, IA",19051,30487,1269,14.9,1329
1999-01-01,"Davis, IA",19051,32012,1089,12.9,1274
2000-01-01,"Davis, IA",19051,33949,1083,12.7,1241
2001-01-01,"Davis, IA",19051,33311,1120,13.2,1221
2002-01-01,"Davis, IA",19051,33333,1186,14.0,1308
2003-01-01,"Davis, IA",19051,33954,977,11.3,1234
2004-01-01,"Davis, IA",19051,36262,1018,11.9,1271
2005-01-01,"Davis, IA",19051,36823,1156,13.7,1223
2006-01-01,"Davis, IA",19051,39299,1003,12.0,1217
2007-01-01,"Davis, IA",19051,40792,1079,12.9,1230
2008-01-01,"Davis, IA",19051,43342,1178,14.1,1228
2009-01-01,"Davis, IA",19051,42741,1244,14.9,1236
2010-01-01,"Davis, IA",19051,42902,1172,14.0,1215
2011-01-01,"Davis, IA",19051,43433,1170,14.0,1216
2012-01-01,"Davis, IA",19051,43946,1173,14.0,1212
2013-01-01,"Davis, IA",19051,44408,1175,14.0,1209
2014-01-01,"Davis, IA",19051,44838,1177,14.0,1207
2015-01-01,"Davis, IA",19051,45238,1180,14.0,1204
2016-01-01,"Davis, IA",19051,45610,1183,14.0,1202
2017-01-01,"Davis, IA",19051,45955,1186,14.0,1201
2018-01-01,"Davis, IA",19051,46275,1188,14.0,1199
2019-01-01,"Davis, IA",19051,46572,1190,14.0,1197
