YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Dillon, SC",45033,22482,8160,27.3,6694
1997-01-01,"Dillon, SC",45033,23572,7725,25.7,6460
1998-01-01,"Dillon, SC",45033,23794,7497,24.9,6380
1999-01-01,"Dillon, SC",45033,25096,6919,22.7,6349
2000-01-01,"Dillon, SC",45033,26573,6709,21.9,6266
2001-01-01,"Dillon, SC",45033,25832,6952,22.6,6438
2002-01-01,"Dillon, SC",45033,25552,6677,21.6,6462
2003-01-01,"Dillon, SC",45033,26751,6357,20.4,6280
2004-01-01,"Dillon, SC",45033,27309,6856,22.2,6344
2005-01-01,"Dillon, SC",45033,28395,7508,24.7,6207
2006-01-01,"Dillon, SC",45033,28612,8193,26.8,6141
2007-01-01,"Dillon, SC",45033,28979,8400,27.7,6099
2008-01-01,"Dillon, SC",45033,30935,7229,23.9,6116
2009-01-01,"Dillon, SC",45033,28653,8967,29.4,6078
2010-01-01,"Dillon, SC",45033,31139,7731,25.0,6058
2011-01-01,"Dillon, SC",45033,29561,9066,29.0,6041
2012-01-01,"Dillon, SC",45033,31373,8222,27.0,6013
2013-01-01,"Dillon, SC",45033,30317,9180,30.0,5996
2014-01-01,"Dillon, SC",45033,31633,8610,28.0,5972
2015-01-01,"Dillon, SC",45033,30935,9302,30.0,5956
2016-01-01,"Dillon, SC",45033,31897,8922,29.0,5937
2017-01-01,"Dillon, SC",45033,31443,9426,31.0,5923
2018-01-01,"Dillon, SC",45033,32152,9176,30.0,5906
2019-01-01,"Dillon, SC",45033,31866,9546,31.0,5893
