YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Dodge, WI",55027,38864,4423,5.7,8442
1997-01-01,"Dodge, WI",55027,42443,4888,6.1,8836
1998-01-01,"Dodge, WI",55027,44435,4539,5.6,8796
1999-01-01,"Dodge, WI",55027,44632,4525,5.6,8820
2000-01-01,"Dodge, WI",55027,46589,4760,5.9,8756
2001-01-01,"Dodge, WI",55027,45858,5092,6.2,8654
2002-01-01,"Dodge, WI",55027,46099,5453,6.6,8500
2003-01-01,"Dodge, WI",55027,46945,5522,6.7,8529
2004-01-01,"Dodge, WI",55027,48558,6751,8.1,8354
2005-01-01,"Dodge, WI",55027,50068,5523,6.7,8028
2006-01-01,"Dodge, WI",55027,49815,6199,7.5,8176
2007-01-01,"Dodge, WI",55027,51619,6812,8.3,10772
2008-01-01,"Dodge, WI",55027,52948,6494,7.9,10838
2009-01-01,"Dodge, WI",55027,50483,7342,9.0,10933
2010-01-01,"Dodge, WI",55027,52085,6967,8.0,11344
2011-01-01,"Dodge, WI",55027,52084,7071,8.0,11595
2012-01-01,"Dodge, WI",55027,52141,7078,8.0,11743
2013-01-01,"Dodge, WI",55027,52124,7085,8.0,11847
2014-01-01,"Dodge, WI",55027,52091,7083,8.0,11918
2015-01-01,"Dodge, WI",55027,52045,7076,8.0,11963
2016-01-01,"Dodge, WI",55027,51993,7066,8.0,11989
2017-01-01,"Dodge, WI",55027,51939,7053,8.0,12000
2018-01-01,"Dodge, WI",55027,51885,7039,8.0,12000
2019-01-01,"Dodge, WI",55027,51835,7025,8.0,11992
