YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Dubois, IN",18037,41897,1660,4.2,6974
1997-01-01,"Dubois, IN",18037,44242,1836,4.6,7252
1998-01-01,"Dubois, IN",18037,46041,2067,5.1,7214
1999-01-01,"Dubois, IN",18037,45238,1770,4.5,7214
2000-01-01,"Dubois, IN",18037,46484,1794,4.5,7458
2001-01-01,"Dubois, IN",18037,46242,1992,5.0,7336
2002-01-01,"Dubois, IN",18037,47638,1999,5.0,7400
2003-01-01,"Dubois, IN",18037,49223,2251,5.6,7418
2004-01-01,"Dubois, IN",18037,50215,2519,6.2,7514
2005-01-01,"Dubois, IN",18037,51191,2588,6.5,7415
2006-01-01,"Dubois, IN",18037,49399,2774,6.8,7502
2007-01-01,"Dubois, IN",18037,54404,3586,8.8,7491
2008-01-01,"Dubois, IN",18037,53779,3044,7.5,7497
2009-01-01,"Dubois, IN",18037,54687,2918,7.2,7443
2010-01-01,"Dubois, IN",18037,51894,2309,5.0,7454
2011-01-01,"Dubois, IN",18037,49536,2054,5.0,7475
2012-01-01,"Dubois, IN",18037,48936,2118,5.0,7437
2013-01-01,"Dubois, IN",18037,48928,2228,5.0,7433
2014-01-01,"Dubois, IN",18037,49407,2351,5.0,7423
2015-01-01,"Dubois, IN",18037,49799,2419,6.0,7428
2016-01-01,"Dubois, IN",18037,50111,2453,6.0,7431
2017-01-01,"Dubois, IN",18037,50245,2457,6.0,7436
2018-01-01,"Dubois, IN",18037,50296,2452,6.0,7438
2019-01-01,"Dubois, IN",18037,50284,2443,6.0,7440
