YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Ellis, TX",48139,37869,12194,12.5,19850
1997-01-01,"Ellis, TX",48139,39855,11570,11.2,20789
1998-01-01,"Ellis, TX",48139,41578,11165,10.4,21579
1999-01-01,"Ellis, TX",48139,46360,10752,9.8,22509
2000-01-01,"Ellis, TX",48139,50312,10736,9.4,23315
2001-01-01,"Ellis, TX",48139,49117,11735,9.9,24092
2002-01-01,"Ellis, TX",48139,49371,12354,10.1,24825
2003-01-01,"Ellis, TX",48139,49815,13796,10.9,25591
2004-01-01,"Ellis, TX",48139,50439,13966,10.6,27169
2005-01-01,"Ellis, TX",48139,51657,13272,10.1,27802
2006-01-01,"Ellis, TX",48139,54974,16066,11.7,28781
2007-01-01,"Ellis, TX",48139,55617,15142,10.7,31353
2008-01-01,"Ellis, TX",48139,63500,14363,9.8,32746
2009-01-01,"Ellis, TX",48139,57943,16347,10.9,33858
2010-01-01,"Ellis, TX",48139,63638,16664,10.0,35176
2011-01-01,"Ellis, TX",48139,64004,17481,11.0,36835
2012-01-01,"Ellis, TX",48139,66791,18114,11.0,38474
2013-01-01,"Ellis, TX",48139,68733,18872,11.0,40242
2014-01-01,"Ellis, TX",48139,71187,19630,11.0,42083
2015-01-01,"Ellis, TX",48139,73597,20444,11.0,44028
2016-01-01,"Ellis, TX",48139,76203,21293,11.0,46069
2017-01-01,"Ellis, TX",48139,78914,22189,11.0,48217
2018-01-01,"Ellis, TX",48139,81777,23130,11.0,50476
2019-01-01,"Ellis, TX",48139,84783,24120,12.0,52852
