YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Evangeline, LA",22039,20868,10088,29.5,7151
1997-01-01,"Evangeline, LA",22039,22310,8735,25.6,7122
1998-01-01,"Evangeline, LA",22039,24548,8443,24.6,7752
1999-01-01,"Evangeline, LA",22039,22201,8812,26.0,6880
2000-01-01,"Evangeline, LA",22039,22405,8543,25.4,6815
2001-01-01,"Evangeline, LA",22039,22168,8537,25.4,6482
2002-01-01,"Evangeline, LA",22039,22691,8467,25.2,6407
2003-01-01,"Evangeline, LA",22039,23576,8196,24.2,6379
2004-01-01,"Evangeline, LA",22039,24220,8833,26.0,6289
2005-01-01,"Evangeline, LA",22039,24543,9682,28.8,6050
2006-01-01,"Evangeline, LA",22039,25315,10327,30.3,6142
2007-01-01,"Evangeline, LA",22039,28629,9012,26.4,6173
2008-01-01,"Evangeline, LA",22039,29733,7698,22.7,6075
2009-01-01,"Evangeline, LA",22039,30897,7283,21.7,5997
2010-01-01,"Evangeline, LA",22039,30011,7631,22.0,5536
2011-01-01,"Evangeline, LA",22039,30316,7956,23.0,5330
2012-01-01,"Evangeline, LA",22039,31278,8083,24.0,5217
2013-01-01,"Evangeline, LA",22039,32502,8045,23.0,5110
2014-01-01,"Evangeline, LA",22039,33762,7926,23.0,4974
2015-01-01,"Evangeline, LA",22039,34992,7788,23.0,4805
2016-01-01,"Evangeline, LA",22039,36213,7661,22.0,4612
2017-01-01,"Evangeline, LA",22039,37466,7545,22.0,4404
2018-01-01,"Evangeline, LA",22039,38785,7434,22.0,4185
2019-01-01,"Evangeline, LA",22039,40185,7320,21.0,3957
