YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Flagler, FL",12035,34891,4595,10.4,4757
1997-01-01,"Flagler, FL",12035,34675,5014,10.5,5361
1998-01-01,"Flagler, FL",12035,36072,4827,9.8,5677
1999-01-01,"Flagler, FL",12035,38038,4822,9.7,5897
2000-01-01,"Flagler, FL",12035,40435,4676,8.8,6074
2001-01-01,"Flagler, FL",12035,39132,5359,9.4,6286
2002-01-01,"Flagler, FL",12035,40310,5552,9.0,6763
2003-01-01,"Flagler, FL",12035,42698,5638,8.2,7164
2004-01-01,"Flagler, FL",12035,45374,5936,7.8,8564
2005-01-01,"Flagler, FL",12035,45355,7257,9.6,9698
2006-01-01,"Flagler, FL",12035,46685,6769,8.2,11053
2007-01-01,"Flagler, FL",12035,45639,8838,10.1,12149
2008-01-01,"Flagler, FL",12035,49014,8882,9.8,12774
2009-01-01,"Flagler, FL",12035,50249,10286,11.3,12890
2010-01-01,"Flagler, FL",12035,53711,9180,9.0,13426
2011-01-01,"Flagler, FL",12035,53846,9926,9.0,14282
2012-01-01,"Flagler, FL",12035,55138,10432,9.0,15126
2013-01-01,"Flagler, FL",12035,56522,10968,9.0,15980
2014-01-01,"Flagler, FL",12035,57986,11500,9.0,16835
2015-01-01,"Flagler, FL",12035,59483,12032,9.0,17696
2016-01-01,"Flagler, FL",12035,61004,12567,10.0,18562
2017-01-01,"Flagler, FL",12035,62545,13106,10.0,19435
2018-01-01,"Flagler, FL",12035,64105,13650,10.0,20318
2019-01-01,"Flagler, FL",12035,65685,14199,10.0,21210
