YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Floyd, IN",18043,36732,6826,9.6,10908
1997-01-01,"Floyd, IN",18043,38808,6988,9.6,11312
1998-01-01,"Floyd, IN",18043,40608,6980,9.6,11503
1999-01-01,"Floyd, IN",18043,42614,5889,8.4,11503
2000-01-01,"Floyd, IN",18043,44789,5693,8.0,11544
2001-01-01,"Floyd, IN",18043,44454,5534,7.8,11428
2002-01-01,"Floyd, IN",18043,44452,5973,8.4,11115
2003-01-01,"Floyd, IN",18043,45098,6560,9.2,11095
2004-01-01,"Floyd, IN",18043,47243,7269,10.2,11377
2005-01-01,"Floyd, IN",18043,48039,7429,10.5,11625
2006-01-01,"Floyd, IN",18043,50733,7400,10.4,11946
2007-01-01,"Floyd, IN",18043,52734,7784,10.8,12239
2008-01-01,"Floyd, IN",18043,50768,8269,11.4,12396
2009-01-01,"Floyd, IN",18043,51812,9041,12.3,12269
2010-01-01,"Floyd, IN",18043,51719,9566,13.0,12411
2011-01-01,"Floyd, IN",18043,52975,9915,13.0,12763
2012-01-01,"Floyd, IN",18043,53883,10162,13.0,13021
2013-01-01,"Floyd, IN",18043,54365,10346,14.0,13184
2014-01-01,"Floyd, IN",18043,54582,10484,14.0,13289
2015-01-01,"Floyd, IN",18043,54654,10585,14.0,13360
2016-01-01,"Floyd, IN",18043,54643,10653,14.0,13409
2017-01-01,"Floyd, IN",18043,54577,10694,14.0,13441
2018-01-01,"Floyd, IN",18043,54474,10710,14.0,13460
2019-01-01,"Floyd, IN",18043,54343,10705,14.0,13468
