YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Fremont, ID",16043,28450,1679,14.5,2721
1997-01-01,"Fremont, ID",16043,30579,1701,14.4,2634
1998-01-01,"Fremont, ID",16043,30668,1875,15.9,2649
1999-01-01,"Fremont, ID",16043,32522,1729,14.9,2676
2000-01-01,"Fremont, ID",16043,34295,1644,14.2,2529
2001-01-01,"Fremont, ID",16043,33705,1717,14.8,2682
2002-01-01,"Fremont, ID",16043,35002,1614,13.6,2346
2003-01-01,"Fremont, ID",16043,36120,1576,13.2,2363
2004-01-01,"Fremont, ID",16043,36101,1503,12.6,2390
2005-01-01,"Fremont, ID",16043,36470,1920,16.3,2395
2006-01-01,"Fremont, ID",16043,42420,1651,13.8,2361
2007-01-01,"Fremont, ID",16043,40571,1593,13.2,2339
2008-01-01,"Fremont, ID",16043,41295,1644,13.6,2356
2009-01-01,"Fremont, ID",16043,41316,1834,14.9,2467
2010-01-01,"Fremont, ID",16043,41471,1862,15.0,2474
2011-01-01,"Fremont, ID",16043,41821,1868,15.0,2478
2012-01-01,"Fremont, ID",16043,42060,1876,15.0,2478
2013-01-01,"Fremont, ID",16043,42272,1884,15.0,2479
2014-01-01,"Fremont, ID",16043,42461,1892,15.0,2480
2015-01-01,"Fremont, ID",16043,42629,1899,15.0,2481
2016-01-01,"Fremont, ID",16043,42779,1906,15.0,2483
2017-01-01,"Fremont, ID",16043,42914,1912,15.0,2484
2018-01-01,"Fremont, ID",16043,43035,1918,15.0,2486
2019-01-01,"Fremont, ID",16043,43144,1923,15.0,2487
