YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Glynn, GA",13127,33377,10858,16.5,10979
1997-01-01,"Glynn, GA",13127,35077,10842,16.1,11356
1998-01-01,"Glynn, GA",13127,35982,10594,15.6,11390
1999-01-01,"Glynn, GA",13127,36824,9710,14.4,11759
2000-01-01,"Glynn, GA",13127,38822,9511,14.0,11915
2001-01-01,"Glynn, GA",13127,38078,9653,14.1,11977
2002-01-01,"Glynn, GA",13127,37963,9820,14.1,12048
2003-01-01,"Glynn, GA",13127,38664,10482,14.9,12172
2004-01-01,"Glynn, GA",13127,40233,10725,15.1,12017
2005-01-01,"Glynn, GA",13127,41109,11244,16.0,12037
2006-01-01,"Glynn, GA",13127,47551,12399,17.1,12327
2007-01-01,"Glynn, GA",13127,46260,9744,13.2,12381
2008-01-01,"Glynn, GA",13127,50236,12767,17.0,12630
2009-01-01,"Glynn, GA",13127,46386,12754,16.8,12759
2010-01-01,"Glynn, GA",13127,45950,13282,17.0,12627
2011-01-01,"Glynn, GA",13127,45174,13276,17.0,12514
2012-01-01,"Glynn, GA",13127,44558,13324,17.0,12433
2013-01-01,"Glynn, GA",13127,43945,13232,17.0,12364
2014-01-01,"Glynn, GA",13127,43443,13132,17.0,12311
2015-01-01,"Glynn, GA",13127,43021,12999,17.0,12268
2016-01-01,"Glynn, GA",13127,42697,12867,17.0,12237
2017-01-01,"Glynn, GA",13127,42459,12737,17.0,12214
2018-01-01,"Glynn, GA",13127,42298,12620,17.0,12199
2019-01-01,"Glynn, GA",13127,42203,12519,17.0,12191
