YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Goshen, WY",56015,26601,2219,17.6,2273
1997-01-01,"Goshen, WY",56015,29446,2124,16.7,2300
1998-01-01,"Goshen, WY",56015,30650,2022,16.0,2253
1999-01-01,"Goshen, WY",56015,31632,1794,14.7,2231
2000-01-01,"Goshen, WY",56015,33155,1792,14.9,2150
2001-01-01,"Goshen, WY",56015,32468,1832,15.4,2141
2002-01-01,"Goshen, WY",56015,32494,1782,15.0,2100
2003-01-01,"Goshen, WY",56015,33253,1741,14.6,1953
2004-01-01,"Goshen, WY",56015,34365,1656,13.9,1949
2005-01-01,"Goshen, WY",56015,34652,1899,16.2,1943
2006-01-01,"Goshen, WY",56015,39466,1604,13.7,2016
2007-01-01,"Goshen, WY",56015,38879,1717,14.8,1875
2008-01-01,"Goshen, WY",56015,40744,1818,15.6,1882
2009-01-01,"Goshen, WY",56015,41453,1702,14.3,1867
2010-01-01,"Goshen, WY",56015,41518,1776,15.0,1840
2011-01-01,"Goshen, WY",56015,42687,1745,14.0,1844
2012-01-01,"Goshen, WY",56015,43256,1749,14.0,1828
2013-01-01,"Goshen, WY",56015,43898,1744,14.0,1816
2014-01-01,"Goshen, WY",56015,44451,1742,14.0,1804
2015-01-01,"Goshen, WY",56015,44981,1741,14.0,1792
2016-01-01,"Goshen, WY",56015,45474,1740,14.0,1782
2017-01-01,"Goshen, WY",56015,45936,1739,14.0,1772
2018-01-01,"Goshen, WY",56015,46367,1739,14.0,1763
2019-01-01,"Goshen, WY",56015,46768,1738,14.0,1755
