YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Grand, UT",49019,28729,1277,15.7,1603
1997-01-01,"Grand, UT",49019,28881,1452,17.8,1580
1998-01-01,"Grand, UT",49019,29886,1466,17.7,1605
1999-01-01,"Grand, UT",49019,31061,1211,14.4,1620
2000-01-01,"Grand, UT",49019,32608,1298,15.2,1626
2001-01-01,"Grand, UT",49019,31619,1387,16.1,1620
2002-01-01,"Grand, UT",49019,31221,1291,14.8,1560
2003-01-01,"Grand, UT",49019,31604,1203,13.9,1494
2004-01-01,"Grand, UT",49019,33332,1242,14.3,1474
2005-01-01,"Grand, UT",49019,34901,1406,16.3,1495
2006-01-01,"Grand, UT",49019,36779,1371,15.4,1514
2007-01-01,"Grand, UT",49019,39219,1327,14.8,1534
2008-01-01,"Grand, UT",49019,38540,1351,14.2,1730
2009-01-01,"Grand, UT",49019,39070,1412,14.7,1546
2010-01-01,"Grand, UT",49019,40820,1236,12.0,1411
2011-01-01,"Grand, UT",49019,43172,1238,12.0,1396
2012-01-01,"Grand, UT",49019,45356,1284,12.0,1459
2013-01-01,"Grand, UT",49019,47018,1316,12.0,1509
2014-01-01,"Grand, UT",49019,48490,1305,11.0,1495
2015-01-01,"Grand, UT",49019,50277,1267,11.0,1436
2016-01-01,"Grand, UT",49019,52575,1238,10.0,1385
2017-01-01,"Grand, UT",49019,55204,1231,9.0,1368
2018-01-01,"Grand, UT",49019,57904,1238,9.0,1373
2019-01-01,"Grand, UT",49019,60594,1239,8.0,1371
