YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Grayson, TX",48181,30466,14584,14.6,18336
1997-01-01,"Grayson, TX",48181,33145,14175,13.9,18992
1998-01-01,"Grayson, TX",48181,34634,13675,13.2,19439
1999-01-01,"Grayson, TX",48181,35703,13414,12.4,19597
2000-01-01,"Grayson, TX",48181,37851,13367,12.2,19915
2001-01-01,"Grayson, TX",48181,36950,14043,12.7,19952
2002-01-01,"Grayson, TX",48181,36895,14618,13.0,19823
2003-01-01,"Grayson, TX",48181,37704,15261,13.5,20430
2004-01-01,"Grayson, TX",48181,38752,15483,13.6,21090
2005-01-01,"Grayson, TX",48181,39655,15328,13.5,21031
2006-01-01,"Grayson, TX",48181,42839,16451,14.3,21034
2007-01-01,"Grayson, TX",48181,44392,14514,12.6,21207
2008-01-01,"Grayson, TX",48181,45669,14223,12.3,21141
2009-01-01,"Grayson, TX",48181,43229,16494,14.1,21010
2010-01-01,"Grayson, TX",48181,44213,15819,13.0,21448
2011-01-01,"Grayson, TX",48181,45041,15670,13.0,21460
2012-01-01,"Grayson, TX",48181,45481,15627,13.0,21452
2013-01-01,"Grayson, TX",48181,45701,15623,13.0,21457
2014-01-01,"Grayson, TX",48181,45825,15635,13.0,21471
2015-01-01,"Grayson, TX",48181,45914,15653,13.0,21489
2016-01-01,"Grayson, TX",48181,45993,15670,13.0,21507
2017-01-01,"Grayson, TX",48181,46069,15685,13.0,21523
2018-01-01,"Grayson, TX",48181,46142,15697,13.0,21536
2019-01-01,"Grayson, TX",48181,46210,15707,13.0,21548
