YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Greene, IL",17061,25900,2115,13.6,2640
1997-01-01,"Greene, IL",17061,29129,2174,13.9,2621
1998-01-01,"Greene, IL",17061,29530,2140,13.8,3068
1999-01-01,"Greene, IL",17061,31102,1817,12.5,2966
2000-01-01,"Greene, IL",17061,32836,1763,12.4,2550
2001-01-01,"Greene, IL",17061,32461,1738,12.1,2509
2002-01-01,"Greene, IL",17061,32654,1847,12.8,2484
2003-01-01,"Greene, IL",17061,33617,1743,12.2,2478
2004-01-01,"Greene, IL",17061,35422,1789,12.5,2399
2005-01-01,"Greene, IL",17061,36057,1945,13.7,2393
2006-01-01,"Greene, IL",17061,36479,2120,15.3,2364
2007-01-01,"Greene, IL",17061,37685,1891,14.0,2347
2008-01-01,"Greene, IL",17061,38678,2030,15.1,2299
2009-01-01,"Greene, IL",17061,39226,1901,14.3,2202
2010-01-01,"Greene, IL",17061,39656,1922,14.0,2149
2011-01-01,"Greene, IL",17061,40061,1948,14.0,2126
2012-01-01,"Greene, IL",17061,40440,1965,14.0,2118
2013-01-01,"Greene, IL",17061,40817,1968,15.0,2105
2014-01-01,"Greene, IL",17061,41192,1963,15.0,2078
2015-01-01,"Greene, IL",17061,41546,1963,15.0,2048
2016-01-01,"Greene, IL",17061,41862,1969,15.0,2024
2017-01-01,"Greene, IL",17061,42146,1977,15.0,2009
2018-01-01,"Greene, IL",17061,42411,1982,15.0,1997
2019-01-01,"Greene, IL",17061,42664,1983,15.0,1982
