YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Greenwood, SC",45047,30328,9080,14.6,11139
1997-01-01,"Greenwood, SC",45047,32937,8647,13.8,11359
1998-01-01,"Greenwood, SC",45047,33882,8659,13.8,11397
1999-01-01,"Greenwood, SC",45047,33877,8314,12.9,11317
2000-01-01,"Greenwood, SC",45047,35469,8136,12.5,11337
2001-01-01,"Greenwood, SC",45047,34354,8892,13.6,11747
2002-01-01,"Greenwood, SC",45047,34109,9212,14.0,12299
2003-01-01,"Greenwood, SC",45047,34578,9191,13.9,12098
2004-01-01,"Greenwood, SC",45047,35918,10012,15.1,12529
2005-01-01,"Greenwood, SC",45047,36629,10494,16.1,12351
2006-01-01,"Greenwood, SC",45047,38430,10617,16.1,12254
2007-01-01,"Greenwood, SC",45047,40428,9908,15.0,12264
2008-01-01,"Greenwood, SC",45047,39628,11111,16.8,12119
2009-01-01,"Greenwood, SC",45047,39586,13162,19.5,12060
2010-01-01,"Greenwood, SC",45047,43098,15489,22.0,12739
2011-01-01,"Greenwood, SC",45047,47780,18713,26.0,13453
2012-01-01,"Greenwood, SC",45047,54213,23216,32.0,14266
2013-01-01,"Greenwood, SC",45047,63191,29617,41.0,15306
2014-01-01,"Greenwood, SC",45047,75893,38814,53.0,16749
2015-01-01,"Greenwood, SC",45047,94049,52082,71.0,18832
2016-01-01,"Greenwood, SC",45047,120149,71234,97.0,21862
2017-01-01,"Greenwood, SC",45047,157755,98862,134.0,26262
2018-01-01,"Greenwood, SC",45047,211970,138692,188.0,32625
2019-01-01,"Greenwood, SC",45047,290124,196091,265.0,41806
