YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Hamlin, SD",46057,26827,660,12.4,1290
1997-01-01,"Hamlin, SD",46057,30161,667,12.7,1362
1998-01-01,"Hamlin, SD",46057,33140,630,11.8,1361
1999-01-01,"Hamlin, SD",46057,34292,532,9.6,1353
2000-01-01,"Hamlin, SD",46057,36231,572,10.4,1316
2001-01-01,"Hamlin, SD",46057,35391,556,9.9,1336
2002-01-01,"Hamlin, SD",46057,35127,645,11.5,1291
2003-01-01,"Hamlin, SD",46057,36838,592,10.6,1259
2004-01-01,"Hamlin, SD",46057,38745,553,9.7,1207
2005-01-01,"Hamlin, SD",46057,38658,584,10.6,1220
2006-01-01,"Hamlin, SD",46057,40659,641,11.5,1257
2007-01-01,"Hamlin, SD",46057,40584,528,9.5,1203
2008-01-01,"Hamlin, SD",46057,47147,598,10.7,1215
2009-01-01,"Hamlin, SD",46057,46444,623,10.9,1224
2010-01-01,"Hamlin, SD",46057,44779,554,9.0,1169
2011-01-01,"Hamlin, SD",46057,45519,586,10.0,1154
2012-01-01,"Hamlin, SD",46057,46481,591,10.0,1152
2013-01-01,"Hamlin, SD",46057,47414,590,10.0,1152
2014-01-01,"Hamlin, SD",46057,48060,585,10.0,1148
2015-01-01,"Hamlin, SD",46057,48527,583,10.0,1140
2016-01-01,"Hamlin, SD",46057,48962,582,10.0,1131
2017-01-01,"Hamlin, SD",46057,49430,583,10.0,1124
2018-01-01,"Hamlin, SD",46057,49912,584,10.0,1118
2019-01-01,"Hamlin, SD",46057,50373,584,10.0,1113
