YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Harney, OR",41025,26569,1055,14.8,1472
1997-01-01,"Harney, OR",41025,29809,1072,14.8,1449
1998-01-01,"Harney, OR",41025,30395,1154,15.6,1434
1999-01-01,"Harney, OR",41025,30440,1035,13.8,1472
2000-01-01,"Harney, OR",41025,31861,1039,14.3,1483
2001-01-01,"Harney, OR",41025,30667,1166,16.3,1484
2002-01-01,"Harney, OR",41025,30493,1009,14.3,1426
2003-01-01,"Harney, OR",41025,30882,945,13.5,1397
2004-01-01,"Harney, OR",41025,32433,955,14.1,1333
2005-01-01,"Harney, OR",41025,33795,971,14.5,1231
2006-01-01,"Harney, OR",41025,33800,1088,16.2,1220
2007-01-01,"Harney, OR",41025,37432,1065,16.1,1218
2008-01-01,"Harney, OR",41025,39507,1048,15.9,1254
2009-01-01,"Harney, OR",41025,34066,1220,18.5,1187
2010-01-01,"Harney, OR",41025,37551,1073,16.0,1198
2011-01-01,"Harney, OR",41025,37318,1110,16.0,1205
2012-01-01,"Harney, OR",41025,37171,1113,16.0,1203
2013-01-01,"Harney, OR",41025,37211,1110,16.0,1198
2014-01-01,"Harney, OR",41025,37312,1109,16.0,1193
2015-01-01,"Harney, OR",41025,37428,1109,16.0,1188
2016-01-01,"Harney, OR",41025,37547,1110,16.0,1184
2017-01-01,"Harney, OR",41025,37663,1111,16.0,1179
2018-01-01,"Harney, OR",41025,37774,1112,16.0,1175
2019-01-01,"Harney, OR",41025,37879,1113,17.0,1171
