YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Harrisonburg, VA",51660,31110,5073,18.7,3470
1997-01-01,"Harrisonburg, VA",51660,35283,5074,18.3,3529
1998-01-01,"Harrisonburg, VA",51660,36667,4804,17.2,3598
1999-01-01,"Harrisonburg, VA",51660,30689,6471,19.3,3551
2000-01-01,"Harrisonburg, VA",51660,31336,6623,19.7,3575
2001-01-01,"Harrisonburg, VA",51660,30238,6232,18.4,3569
2002-01-01,"Harrisonburg, VA",51660,29795,6797,19.9,3743
2003-01-01,"Harrisonburg, VA",51660,30918,6066,17.9,3844
2004-01-01,"Harrisonburg, VA",51660,31565,6045,17.9,4031
2005-01-01,"Harrisonburg, VA",51660,32956,8989,26.9,4150
2006-01-01,"Harrisonburg, VA",51660,33259,9547,28.1,4281
2007-01-01,"Harrisonburg, VA",51660,37118,9821,26.7,0
2008-01-01,"Harrisonburg, VA",51660,39049,10607,28.8,0
2009-01-01,"Harrisonburg, VA",51660,34967,9448,25.0,0
2010-01-01,"Harrisonburg, VA",51660,35170,8880,24.0,811
2011-01-01,"Harrisonburg, VA",51660,34502,8755,23.0,1296
2012-01-01,"Harrisonburg, VA",51660,34186,8698,23.0,1561
2013-01-01,"Harrisonburg, VA",51660,34065,8675,23.0,1690
2014-01-01,"Harrisonburg, VA",51660,34033,8668,23.0,1744
2015-01-01,"Harrisonburg, VA",51660,34038,8668,23.0,1762
2016-01-01,"Harrisonburg, VA",51660,34052,8671,23.0,1764
2017-01-01,"Harrisonburg, VA",51660,34066,8673,23.0,1760
2018-01-01,"Harrisonburg, VA",51660,34075,8675,23.0,1756
2019-01-01,"Harrisonburg, VA",51660,34082,8676,23.0,1753
