YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Hendricks, IN",18063,52764,3256,3.7,15338
1997-01-01,"Hendricks, IN",18063,55548,4039,4.3,16161
1998-01-01,"Hendricks, IN",18063,58323,4206,4.3,16619
1999-01-01,"Hendricks, IN",18063,57093,4151,4.1,16619
2000-01-01,"Hendricks, IN",18063,58193,4234,3.9,17860
2001-01-01,"Hendricks, IN",18063,57918,4511,4.0,18417
2002-01-01,"Hendricks, IN",18063,59917,4820,4.1,19194
2003-01-01,"Hendricks, IN",18063,61475,5505,4.6,19927
2004-01-01,"Hendricks, IN",18063,63058,6477,5.2,21767
2005-01-01,"Hendricks, IN",18063,59720,5746,4.7,22769
2006-01-01,"Hendricks, IN",18063,62312,7085,5.6,23998
2007-01-01,"Hendricks, IN",18063,66432,6459,5.0,25047
2008-01-01,"Hendricks, IN",18063,67429,6866,5.2,25536
2009-01-01,"Hendricks, IN",18063,67011,6897,5.1,26257
2010-01-01,"Hendricks, IN",18063,67847,7439,5.0,27034
2011-01-01,"Hendricks, IN",18063,68536,7690,5.0,27979
2012-01-01,"Hendricks, IN",18063,69487,8002,5.0,28936
2013-01-01,"Hendricks, IN",18063,70472,8290,5.0,29892
2014-01-01,"Hendricks, IN",18063,71473,8576,5.0,30833
2015-01-01,"Hendricks, IN",18063,72462,8857,6.0,31758
2016-01-01,"Hendricks, IN",18063,73435,9135,6.0,32671
2017-01-01,"Hendricks, IN",18063,74394,9412,6.0,33577
2018-01-01,"Hendricks, IN",18063,75342,9688,6.0,34476
2019-01-01,"Hendricks, IN",18063,76284,9962,6.0,35372
