YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Henrico, VA",51087,41221,18189,7.5,34952
1997-01-01,"Henrico, VA",51087,44122,19261,7.9,37112
1998-01-01,"Henrico, VA",51087,47155,18165,7.4,38102
1999-01-01,"Henrico, VA",51087,47903,17530,6.7,39073
2000-01-01,"Henrico, VA",51087,50088,16209,6.2,39995
2001-01-01,"Henrico, VA",51087,49767,16609,6.3,40818
2002-01-01,"Henrico, VA",51087,50731,18976,7.0,41655
2003-01-01,"Henrico, VA",51087,51098,21682,7.9,42928
2004-01-01,"Henrico, VA",51087,53009,21612,7.8,45354
2005-01-01,"Henrico, VA",51087,55284,21858,7.9,46711
2006-01-01,"Henrico, VA",51087,57143,22038,7.9,47747
2007-01-01,"Henrico, VA",51087,58194,24163,8.5,47680
2008-01-01,"Henrico, VA",51087,61300,24078,8.4,48620
2009-01-01,"Henrico, VA",51087,57318,29165,10.0,48991
2010-01-01,"Henrico, VA",51087,60716,30203,10.0,51997
2011-01-01,"Henrico, VA",51087,63550,31167,10.0,53526
2012-01-01,"Henrico, VA",51087,65088,32804,11.0,54613
2013-01-01,"Henrico, VA",51087,66431,34785,11.0,56035
2014-01-01,"Henrico, VA",51087,68149,36795,12.0,57757
2015-01-01,"Henrico, VA",51087,70121,38824,13.0,59552
2016-01-01,"Henrico, VA",51087,72153,40965,13.0,61366
2017-01-01,"Henrico, VA",51087,74225,43250,14.0,63249
2018-01-01,"Henrico, VA",51087,76390,45670,15.0,65239
2019-01-01,"Henrico, VA",51087,78679,48218,16.0,67340
