YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Henry, MO",29083,24694,3328,15.8,3317
1997-01-01,"Henry, MO",29083,27021,3091,14.5,3372
1998-01-01,"Henry, MO",29083,28369,3045,14.3,3508
1999-01-01,"Henry, MO",29083,30375,2947,13.5,3404
2000-01-01,"Henry, MO",29083,31862,2864,13.0,3344
2001-01-01,"Henry, MO",29083,31306,2865,13.0,3401
2002-01-01,"Henry, MO",29083,31911,2896,13.0,3297
2003-01-01,"Henry, MO",29083,32789,2983,13.3,3394
2004-01-01,"Henry, MO",29083,33933,3337,14.9,3325
2005-01-01,"Henry, MO",29083,34594,3826,17.3,3202
2006-01-01,"Henry, MO",29083,34948,3823,17.1,3069
2007-01-01,"Henry, MO",29083,34908,3709,16.8,3561
2008-01-01,"Henry, MO",29083,35939,3336,15.3,3532
2009-01-01,"Henry, MO",29083,36332,3986,18.3,3334
2010-01-01,"Henry, MO",29083,36330,4197,19.0,3332
2011-01-01,"Henry, MO",29083,36562,4298,19.0,3346
2012-01-01,"Henry, MO",29083,36814,4392,20.0,3349
2013-01-01,"Henry, MO",29083,37024,4492,20.0,3348
2014-01-01,"Henry, MO",29083,37207,4590,21.0,3348
2015-01-01,"Henry, MO",29083,37377,4683,21.0,3349
2016-01-01,"Henry, MO",29083,37534,4770,22.0,3350
2017-01-01,"Henry, MO",29083,37678,4853,22.0,3350
2018-01-01,"Henry, MO",29083,37812,4931,23.0,3351
2019-01-01,"Henry, MO",29083,37936,5005,23.0,3352
