YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Hudspeth, TX",48229,17275,1031,32.7,797
1997-01-01,"Hudspeth, TX",48229,19987,1033,32.9,825
1998-01-01,"Hudspeth, TX",48229,20414,1103,34.1,824
1999-01-01,"Hudspeth, TX",48229,21171,1079,32.5,815
2000-01-01,"Hudspeth, TX",48229,22878,1088,32.7,815
2001-01-01,"Hudspeth, TX",48229,21818,1058,32.3,817
2002-01-01,"Hudspeth, TX",48229,21857,960,30.3,871
2003-01-01,"Hudspeth, TX",48229,21855,933,28.6,879
2004-01-01,"Hudspeth, TX",48229,22177,870,26.6,842
2005-01-01,"Hudspeth, TX",48229,23426,1041,32.0,853
2006-01-01,"Hudspeth, TX",48229,23096,1022,31.2,830
2007-01-01,"Hudspeth, TX",48229,25095,1055,32.4,752
2008-01-01,"Hudspeth, TX",48229,26625,933,30.1,733
2009-01-01,"Hudspeth, TX",48229,27053,917,29.8,752
2010-01-01,"Hudspeth, TX",48229,27349,890,29.0,752
2011-01-01,"Hudspeth, TX",48229,27645,874,28.0,753
2012-01-01,"Hudspeth, TX",48229,27873,862,28.0,754
2013-01-01,"Hudspeth, TX",48229,28068,854,28.0,753
2014-01-01,"Hudspeth, TX",48229,28232,848,28.0,753
2015-01-01,"Hudspeth, TX",48229,28376,843,27.0,752
2016-01-01,"Hudspeth, TX",48229,28502,839,27.0,751
2017-01-01,"Hudspeth, TX",48229,28615,835,27.0,750
2018-01-01,"Hudspeth, TX",48229,28716,832,27.0,749
2019-01-01,"Hudspeth, TX",48229,28807,829,27.0,748
