YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Iosco, MI",26069,24546,3745,15.0,6089
1997-01-01,"Iosco, MI",26069,27140,3503,13.6,6351
1998-01-01,"Iosco, MI",26069,27950,3570,14.0,6476
1999-01-01,"Iosco, MI",26069,30090,3325,12.3,6403
2000-01-01,"Iosco, MI",26069,31792,3351,12.5,6446
2001-01-01,"Iosco, MI",26069,30307,3495,13.1,6237
2002-01-01,"Iosco, MI",26069,30517,3753,14.1,6159
2003-01-01,"Iosco, MI",26069,31253,3372,12.7,5896
2004-01-01,"Iosco, MI",26069,32238,3876,14.5,5760
2005-01-01,"Iosco, MI",26069,32632,3878,14.7,5472
2006-01-01,"Iosco, MI",26069,34880,4117,15.6,5357
2007-01-01,"Iosco, MI",26069,35724,4060,15.7,5264
2008-01-01,"Iosco, MI",26069,34929,4491,17.6,5162
2009-01-01,"Iosco, MI",26069,33976,4714,18.6,4947
2010-01-01,"Iosco, MI",26069,34374,4601,18.0,4810
2011-01-01,"Iosco, MI",26069,34787,4805,19.0,4751
2012-01-01,"Iosco, MI",26069,34963,4826,19.0,4636
2013-01-01,"Iosco, MI",26069,35206,4947,19.0,4554
2014-01-01,"Iosco, MI",26069,35378,5007,20.0,4459
2015-01-01,"Iosco, MI",26069,35565,5097,20.0,4378
2016-01-01,"Iosco, MI",26069,35723,5165,20.0,4295
2017-01-01,"Iosco, MI",26069,35880,5239,21.0,4219
2018-01-01,"Iosco, MI",26069,36022,5304,21.0,4146
2019-01-01,"Iosco, MI",26069,36157,5369,21.0,4077
