YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Isanti, MN",27059,40360,2062,7.1,5857
1997-01-01,"Isanti, MN",27059,43409,2194,7.3,5865
1998-01-01,"Isanti, MN",27059,46044,2423,7.9,6039
1999-01-01,"Isanti, MN",27059,48225,1973,6.4,6160
2000-01-01,"Isanti, MN",27059,51062,1812,5.6,6069
2001-01-01,"Isanti, MN",27059,50813,1996,6.0,5922
2002-01-01,"Isanti, MN",27059,52802,2067,5.9,5987
2003-01-01,"Isanti, MN",27059,53878,2206,6.1,6140
2004-01-01,"Isanti, MN",27059,55345,2373,6.3,6172
2005-01-01,"Isanti, MN",27059,56064,2407,6.5,6285
2006-01-01,"Isanti, MN",27059,55695,2695,7.1,6285
2007-01-01,"Isanti, MN",27059,56430,2925,7.6,6403
2008-01-01,"Isanti, MN",27059,61405,2874,7.5,6328
2009-01-01,"Isanti, MN",27059,55233,3508,9.0,6292
2010-01-01,"Isanti, MN",27059,58448,3752,9.0,6543
2011-01-01,"Isanti, MN",27059,58297,3881,10.0,6616
2012-01-01,"Isanti, MN",27059,59020,3943,10.0,6664
2013-01-01,"Isanti, MN",27059,59264,3992,10.0,6686
2014-01-01,"Isanti, MN",27059,59589,4033,10.0,6704
2015-01-01,"Isanti, MN",27059,59826,4075,10.0,6719
2016-01-01,"Isanti, MN",27059,60051,4115,10.0,6734
2017-01-01,"Isanti, MN",27059,60245,4155,10.0,6747
2018-01-01,"Isanti, MN",27059,60420,4193,10.0,6761
2019-01-01,"Isanti, MN",27059,60574,4229,10.0,6773
