YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Jackson, AR",5067,22340,4462,24.3,3049
1997-01-01,"Jackson, AR",5067,23942,4187,23.6,3013
1998-01-01,"Jackson, AR",5067,25495,3910,22.4,2948
1999-01-01,"Jackson, AR",5067,25109,3348,19.9,2889
2000-01-01,"Jackson, AR",5067,26168,3318,20.3,2794
2001-01-01,"Jackson, AR",5067,25389,3522,22.0,2735
2002-01-01,"Jackson, AR",5067,24970,3575,22.6,2654
2003-01-01,"Jackson, AR",5067,26154,3226,20.6,2613
2004-01-01,"Jackson, AR",5067,26579,3281,21.0,2516
2005-01-01,"Jackson, AR",5067,27454,3916,25.4,2566
2006-01-01,"Jackson, AR",5067,27271,3999,26.1,2594
2007-01-01,"Jackson, AR",5067,29351,3594,23.8,3185
2008-01-01,"Jackson, AR",5067,30490,3697,24.9,3190
2009-01-01,"Jackson, AR",5067,28987,4108,28.4,3100
2010-01-01,"Jackson, AR",5067,30684,3925,27.0,3294
2011-01-01,"Jackson, AR",5067,31344,3964,28.0,3380
2012-01-01,"Jackson, AR",5067,32043,4009,28.0,3472
2013-01-01,"Jackson, AR",5067,32768,4060,29.0,3571
2014-01-01,"Jackson, AR",5067,33524,4115,30.0,3676
2015-01-01,"Jackson, AR",5067,34312,4175,31.0,3787
2016-01-01,"Jackson, AR",5067,35133,4237,32.0,3905
2017-01-01,"Jackson, AR",5067,35990,4303,33.0,4029
2018-01-01,"Jackson, AR",5067,36883,4372,34.0,4158
2019-01-01,"Jackson, AR",5067,37816,4444,35.0,4294
