YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Jackson, OK",40065,25845,5487,18.5,6161
1997-01-01,"Jackson, OK",40065,30330,4749,16.8,6323
1998-01-01,"Jackson, OK",40065,32645,4831,17.3,6406
1999-01-01,"Jackson, OK",40065,31255,4241,15.2,6246
2000-01-01,"Jackson, OK",40065,32665,4095,15.0,6145
2001-01-01,"Jackson, OK",40065,32181,4033,15.1,5974
2002-01-01,"Jackson, OK",40065,32769,3808,14.2,5943
2003-01-01,"Jackson, OK",40065,34352,3977,14.9,5691
2004-01-01,"Jackson, OK",40065,34881,3819,14.7,5600
2005-01-01,"Jackson, OK",40065,35996,5074,19.8,5490
2006-01-01,"Jackson, OK",40065,36441,4532,17.9,5450
2007-01-01,"Jackson, OK",40065,38313,4477,17.9,5308
2008-01-01,"Jackson, OK",40065,39249,4228,17.2,5112
2009-01-01,"Jackson, OK",40065,38407,4337,17.6,5215
2010-01-01,"Jackson, OK",40065,38798,4366,17.0,5128
2011-01-01,"Jackson, OK",40065,39250,4401,18.0,5056
2012-01-01,"Jackson, OK",40065,39702,4424,18.0,4990
2013-01-01,"Jackson, OK",40065,40128,4442,18.0,4928
2014-01-01,"Jackson, OK",40065,40531,4457,18.0,4868
2015-01-01,"Jackson, OK",40065,40913,4470,18.0,4812
2016-01-01,"Jackson, OK",40065,41276,4484,18.0,4758
2017-01-01,"Jackson, OK",40065,41622,4496,19.0,4707
2018-01-01,"Jackson, OK",40065,41950,4508,19.0,4658
2019-01-01,"Jackson, OK",40065,42263,4519,19.0,4612
