YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Jackson, SD",46071,22507,1045,35.2,797
1997-01-01,"Jackson, SD",46071,23783,981,33.5,790
1998-01-01,"Jackson, SD",46071,22276,907,30.9,772
1999-01-01,"Jackson, SD",46071,23591,806,27.5,872
2000-01-01,"Jackson, SD",46071,25030,771,27.2,434
2001-01-01,"Jackson, SD",46071,24126,748,26.2,420
2002-01-01,"Jackson, SD",46071,22646,768,26.9,391
2003-01-01,"Jackson, SD",46071,23304,750,25.9,392
2004-01-01,"Jackson, SD",46071,24472,780,27.3,354
2005-01-01,"Jackson, SD",46071,25445,924,32.8,347
2006-01-01,"Jackson, SD",46071,26448,939,32.8,320
2007-01-01,"Jackson, SD",46071,27391,853,30.9,328
2008-01-01,"Jackson, SD",46071,28119,868,32.4,379
2009-01-01,"Jackson, SD",46071,30375,947,36.1,405
2010-01-01,"Jackson, SD",46071,32741,1009,39.0,449
2011-01-01,"Jackson, SD",46071,35735,1079,43.0,482
2012-01-01,"Jackson, SD",46071,39661,1171,48.0,522
2013-01-01,"Jackson, SD",46071,44812,1290,54.0,574
2014-01-01,"Jackson, SD",46071,51567,1446,63.0,641
2015-01-01,"Jackson, SD",46071,60426,1651,74.0,728
2016-01-01,"Jackson, SD",46071,72043,1920,89.0,841
2017-01-01,"Jackson, SD",46071,87276,2273,109.0,990
2018-01-01,"Jackson, SD",46071,107251,2735,135.0,1184
2019-01-01,"Jackson, SD",46071,133442,3342,168.0,1439
