YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Jasper, IL",17079,30497,1067,9.9,2027
1997-01-01,"Jasper, IL",17079,32578,1283,11.9,2053
1998-01-01,"Jasper, IL",17079,31965,1351,12.7,2285
1999-01-01,"Jasper, IL",17079,33997,1140,11.3,2245
2000-01-01,"Jasper, IL",17079,36045,1074,10.8,1900
2001-01-01,"Jasper, IL",17079,36666,981,9.8,1783
2002-01-01,"Jasper, IL",17079,37196,984,9.9,1690
2003-01-01,"Jasper, IL",17079,37646,1012,10.1,1694
2004-01-01,"Jasper, IL",17079,40270,1000,10.0,1609
2005-01-01,"Jasper, IL",17079,40867,1076,10.8,1545
2006-01-01,"Jasper, IL",17079,39872,1154,11.8,1494
2007-01-01,"Jasper, IL",17079,42723,1071,11.1,1453
2008-01-01,"Jasper, IL",17079,44445,1051,10.9,1462
2009-01-01,"Jasper, IL",17079,47087,1063,11.3,1424
2010-01-01,"Jasper, IL",17079,48560,976,10.0,1266
2011-01-01,"Jasper, IL",17079,50506,874,10.0,1043
2012-01-01,"Jasper, IL",17079,52305,841,9.0,847
2013-01-01,"Jasper, IL",17079,53804,872,10.0,740
2014-01-01,"Jasper, IL",17079,55145,912,10.0,703
2015-01-01,"Jasper, IL",17079,56560,918,10.0,674
2016-01-01,"Jasper, IL",17079,58176,883,10.0,601
2017-01-01,"Jasper, IL",17079,59956,830,10.0,478
2018-01-01,"Jasper, IL",17079,61775,789,9.0,335
2019-01-01,"Jasper, IL",17079,63532,772,9.0,208
