YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Jefferson, MO",29099,40961,15678,8.2,33631
1997-01-01,"Jefferson, MO",29099,43172,15310,7.8,34726
1998-01-01,"Jefferson, MO",29099,44924,14790,7.4,35363
1999-01-01,"Jefferson, MO",29099,45392,14406,7.3,35580
2000-01-01,"Jefferson, MO",29099,47761,13285,6.6,35556
2001-01-01,"Jefferson, MO",29099,47652,14001,6.9,35253
2002-01-01,"Jefferson, MO",29099,48572,15120,7.3,35405
2003-01-01,"Jefferson, MO",29099,49828,16746,8.0,35075
2004-01-01,"Jefferson, MO",29099,51135,18202,8.6,35059
2005-01-01,"Jefferson, MO",29099,51077,21410,10.2,34877
2006-01-01,"Jefferson, MO",29099,53419,17329,8.1,35210
2007-01-01,"Jefferson, MO",29099,56755,19526,9.1,35313
2008-01-01,"Jefferson, MO",29099,57897,17697,8.2,35571
2009-01-01,"Jefferson, MO",29099,53939,22772,10.5,35514
2010-01-01,"Jefferson, MO",29099,57114,19385,8.0,35285
2011-01-01,"Jefferson, MO",29099,57017,21236,9.0,35294
2012-01-01,"Jefferson, MO",29099,57927,21170,9.0,35287
2013-01-01,"Jefferson, MO",29099,58464,21671,9.0,35290
2014-01-01,"Jefferson, MO",29099,59076,21973,10.0,35288
2015-01-01,"Jefferson, MO",29099,59628,22320,10.0,35286
2016-01-01,"Jefferson, MO",29099,60165,22635,10.0,35284
2017-01-01,"Jefferson, MO",29099,60675,22941,10.0,35282
2018-01-01,"Jefferson, MO",29099,61163,23232,10.0,35280
2019-01-01,"Jefferson, MO",29099,61629,23511,10.0,35278
