YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Kingman, KS",20095,31469,940,11.1,1610
1997-01-01,"Kingman, KS",20095,35312,905,10.6,1608
1998-01-01,"Kingman, KS",20095,35759,959,11.1,1624
1999-01-01,"Kingman, KS",20095,37188,975,11.4,1632
2000-01-01,"Kingman, KS",20095,38604,807,9.6,1640
2001-01-01,"Kingman, KS",20095,38136,828,10.1,1667
2002-01-01,"Kingman, KS",20095,37745,842,10.2,1589
2003-01-01,"Kingman, KS",20095,39234,842,10.2,1576
2004-01-01,"Kingman, KS",20095,40174,837,10.5,1537
2005-01-01,"Kingman, KS",20095,41511,983,12.4,1439
2006-01-01,"Kingman, KS",20095,42700,873,11.3,1404
2007-01-01,"Kingman, KS",20095,44859,824,10.8,1343
2008-01-01,"Kingman, KS",20095,48480,778,10.4,1328
2009-01-01,"Kingman, KS",20095,45307,764,10.4,1290
2010-01-01,"Kingman, KS",20095,47276,807,10.0,1242
2011-01-01,"Kingman, KS",20095,48795,792,10.0,1210
2012-01-01,"Kingman, KS",20095,49985,776,10.0,1174
2013-01-01,"Kingman, KS",20095,51145,765,10.0,1131
2014-01-01,"Kingman, KS",20095,52397,755,10.0,1084
2015-01-01,"Kingman, KS",20095,53739,744,11.0,1035
2016-01-01,"Kingman, KS",20095,55145,732,11.0,985
2017-01-01,"Kingman, KS",20095,56601,720,11.0,933
2018-01-01,"Kingman, KS",20095,58108,707,11.0,879
2019-01-01,"Kingman, KS",20095,59669,693,11.0,823
