YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,LOUISIANA,22000,27265,912513,21.2,800477
1997-01-01,LOUISIANA,22000,30466,793472,18.4,798306
1998-01-01,LOUISIANA,22000,30894,790323,18.2,812390
1999-01-01,LOUISIANA,22000,31904,800648,18.3,776813
2000-01-01,LOUISIANA,22000,32124,753254,17.3,768734
2001-01-01,LOUISIANA,22000,32959,796870,18.3,756579
2002-01-01,LOUISIANA,22000,33536,797255,18.1,743089
2003-01-01,LOUISIANA,22000,33792,795664,18.1,731328
2004-01-01,LOUISIANA,22000,35216,849180,19.2,727709
2005-01-01,LOUISIANA,22000,36547,882641,20.2,724281
2006-01-01,LOUISIANA,22000,39122,808319,19.4,654526
2007-01-01,LOUISIANA,22000,40866,783922,18.8,675851
2008-01-01,LOUISIANA,22000,43635,755150,17.6,681038
2009-01-01,LOUISIANA,22000,42460,769001,17.6,684873
2010-01-01,LOUISIANA,22000,42152,803812,18.0,661899
2011-01-01,LOUISIANA,22000,42817,819786,19.0,644365
2012-01-01,LOUISIANA,22000,44112,815560,19.0,632264
2013-01-01,LOUISIANA,22000,45534,802788,18.0,624273
2014-01-01,LOUISIANA,22000,46758,791997,18.0,617600
2015-01-01,LOUISIANA,22000,47720,787422,18.0,610183
2016-01-01,LOUISIANA,22000,48525,787842,18.0,601440
2017-01-01,LOUISIANA,22000,49306,789948,18.0,591846
2018-01-01,LOUISIANA,22000,50137,791171,18.0,582153
2019-01-01,LOUISIANA,22000,51023,790702,18.0,572844
