YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Laurens, SC",45059,29782,8750,14.6,8912
1997-01-01,"Laurens, SC",45059,30159,8869,14.3,9041
1998-01-01,"Laurens, SC",45059,30265,8725,14.0,9268
1999-01-01,"Laurens, SC",45059,31527,8893,13.1,9313
2000-01-01,"Laurens, SC",45059,33267,9008,13.2,9373
2001-01-01,"Laurens, SC",45059,32613,10242,15.0,9844
2002-01-01,"Laurens, SC",45059,32320,10758,15.7,10080
2003-01-01,"Laurens, SC",45059,32479,10137,14.8,10524
2004-01-01,"Laurens, SC",45059,33156,11162,16.3,9581
2005-01-01,"Laurens, SC",45059,35080,11269,16.7,9566
2006-01-01,"Laurens, SC",45059,36103,12484,18.4,9277
2007-01-01,"Laurens, SC",45059,35832,13567,20.2,9266
2008-01-01,"Laurens, SC",45059,40432,12319,18.3,9385
2009-01-01,"Laurens, SC",45059,36910,13339,19.7,9259
2010-01-01,"Laurens, SC",45059,38709,13184,19.0,9358
2011-01-01,"Laurens, SC",45059,38273,13706,20.0,9232
2012-01-01,"Laurens, SC",45059,39197,13762,20.0,9232
2013-01-01,"Laurens, SC",45059,39242,14071,20.0,9154
2014-01-01,"Laurens, SC",45059,39786,14197,21.0,9127
2015-01-01,"Laurens, SC",45059,39980,14411,21.0,9073
2016-01-01,"Laurens, SC",45059,40350,14548,21.0,9040
2017-01-01,"Laurens, SC",45059,40574,14712,22.0,8999
2018-01-01,"Laurens, SC",45059,40853,14840,22.0,8967
2019-01-01,"Laurens, SC",45059,41065,14972,22.0,8934
