YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Lawrence, TN",47099,28846,5318,13.6,6605
1997-01-01,"Lawrence, TN",47099,29364,5445,13.7,6859
1998-01-01,"Lawrence, TN",47099,30457,5590,13.9,6773
1999-01-01,"Lawrence, TN",47099,30273,5603,14.1,6829
2000-01-01,"Lawrence, TN",47099,31211,5641,14.2,6934
2001-01-01,"Lawrence, TN",47099,30455,5893,14.6,7018
2002-01-01,"Lawrence, TN",47099,30670,6012,14.8,6866
2003-01-01,"Lawrence, TN",47099,31687,5847,14.4,6800
2004-01-01,"Lawrence, TN",47099,32817,6497,15.9,6710
2005-01-01,"Lawrence, TN",47099,35773,5967,14.7,6999
2006-01-01,"Lawrence, TN",47099,32718,8124,20.1,6924
2007-01-01,"Lawrence, TN",47099,35762,6555,16.2,7029
2008-01-01,"Lawrence, TN",47099,35634,6290,15.5,6980
2009-01-01,"Lawrence, TN",47099,34254,7341,18.0,6914
2010-01-01,"Lawrence, TN",47099,36110,6730,16.0,6974
2011-01-01,"Lawrence, TN",47099,35550,7289,17.0,6981
2012-01-01,"Lawrence, TN",47099,36183,7091,17.0,7016
2013-01-01,"Lawrence, TN",47099,35981,7293,17.0,7015
2014-01-01,"Lawrence, TN",47099,36263,7222,17.0,7023
2015-01-01,"Lawrence, TN",47099,36248,7307,17.0,7022
2016-01-01,"Lawrence, TN",47099,36406,7295,17.0,7027
2017-01-01,"Lawrence, TN",47099,36444,7339,18.0,7029
2018-01-01,"Lawrence, TN",47099,36538,7346,18.0,7032
2019-01-01,"Lawrence, TN",47099,36583,7371,18.0,7034
