YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Livingston, MI",26093,58349,5621,4.0,21678
1997-01-01,"Livingston, MI",26093,61915,5678,3.8,23145
1998-01-01,"Livingston, MI",26093,64705,5759,3.8,24210
1999-01-01,"Livingston, MI",26093,66805,5544,3.5,24778
2000-01-01,"Livingston, MI",26093,69650,5587,3.4,25701
2001-01-01,"Livingston, MI",26093,69915,6031,3.6,26533
2002-01-01,"Livingston, MI",26093,70700,6976,4.0,27226
2003-01-01,"Livingston, MI",26093,71387,7861,4.4,28711
2004-01-01,"Livingston, MI",26093,71683,9275,5.1,25158
2005-01-01,"Livingston, MI",26093,71856,7944,4.4,30410
2006-01-01,"Livingston, MI",26093,71352,9212,5.0,30867
2007-01-01,"Livingston, MI",26093,72700,9981,5.5,31099
2008-01-01,"Livingston, MI",26093,72090,11796,6.5,30500
2009-01-01,"Livingston, MI",26093,68514,12074,6.6,30067
2010-01-01,"Livingston, MI",26093,68962,12175,6.0,31505
2011-01-01,"Livingston, MI",26093,68055,13072,7.0,30817
2012-01-01,"Livingston, MI",26093,67091,13422,7.0,31098
2013-01-01,"Livingston, MI",26093,66300,13846,7.0,31111
2014-01-01,"Livingston, MI",26093,65472,14212,7.0,31087
2015-01-01,"Livingston, MI",26093,64697,14514,8.0,31062
2016-01-01,"Livingston, MI",26093,63974,14773,8.0,31006
2017-01-01,"Livingston, MI",26093,63306,14983,8.0,30935
2018-01-01,"Livingston, MI",26093,62699,15151,8.0,30852
2019-01-01,"Livingston, MI",26093,62157,15280,8.0,30760
