YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Lyon, NV",32019,32920,2880,10.6,4887
1997-01-01,"Lyon, NV",32019,33684,3436,11.4,5426
1998-01-01,"Lyon, NV",32019,36196,3638,11.6,5867
1999-01-01,"Lyon, NV",32019,38668,3837,11.3,6154
2000-01-01,"Lyon, NV",32019,41620,3650,10.3,6351
2001-01-01,"Lyon, NV",32019,40747,3557,9.6,6539
2002-01-01,"Lyon, NV",32019,41788,3759,9.5,6666
2003-01-01,"Lyon, NV",32019,43324,4128,9.7,7046
2004-01-01,"Lyon, NV",32019,46078,4221,9.0,7678
2005-01-01,"Lyon, NV",32019,43045,3969,8.5,8172
2006-01-01,"Lyon, NV",32019,48481,4518,8.9,8708
2007-01-01,"Lyon, NV",32019,49981,5163,10.0,9149
2008-01-01,"Lyon, NV",32019,47924,5042,9.6,9268
2009-01-01,"Lyon, NV",32019,51151,5275,10.2,8919
2010-01-01,"Lyon, NV",32019,49381,4892,9.0,8941
2011-01-01,"Lyon, NV",32019,49910,4942,9.0,9115
2012-01-01,"Lyon, NV",32019,50532,5016,9.0,9278
2013-01-01,"Lyon, NV",32019,51094,5084,9.0,9423
2014-01-01,"Lyon, NV",32019,51602,5144,8.0,9556
2015-01-01,"Lyon, NV",32019,52067,5199,8.0,9677
2016-01-01,"Lyon, NV",32019,52496,5250,8.0,9789
2017-01-01,"Lyon, NV",32019,52893,5297,8.0,9893
2018-01-01,"Lyon, NV",32019,53261,5340,8.0,9989
2019-01-01,"Lyon, NV",32019,53604,5380,8.0,10079
