YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,MAINE,23000,31189,152713,12.3,211836
1997-01-01,MAINE,23000,33140,132809,10.7,213858
1998-01-01,MAINE,23000,35560,128682,10.3,213497
1999-01-01,MAINE,23000,36902,133122,10.6,215602
2000-01-01,MAINE,23000,37589,124727,9.9,210080
2001-01-01,MAINE,23000,38036,129604,10.2,214342
2002-01-01,MAINE,23000,37963,140902,11.0,212359
2003-01-01,MAINE,23000,39212,138219,10.7,210452
2004-01-01,MAINE,23000,41287,148802,11.5,201549
2005-01-01,MAINE,23000,42648,157180,12.3,198820
2006-01-01,MAINE,23000,43472,163293,12.7,195498
2007-01-01,MAINE,23000,45832,155764,12.2,193986
2008-01-01,MAINE,23000,46419,161170,12.6,196105
2009-01-01,MAINE,23000,45708,161504,12.6,192563
2010-01-01,MAINE,23000,46483,164243,12.0,192632
2011-01-01,MAINE,23000,46770,164328,12.0,191596
2012-01-01,MAINE,23000,47099,165292,12.0,191211
2013-01-01,MAINE,23000,47315,165782,12.0,190706
2014-01-01,MAINE,23000,47510,166351,13.0,190349
2015-01-01,MAINE,23000,47666,166788,13.0,190014
2016-01-01,MAINE,23000,47801,167184,13.0,189742
2017-01-01,MAINE,23000,47913,167509,13.0,189507
2018-01-01,MAINE,23000,48007,167785,13.0,189311
2019-01-01,MAINE,23000,48086,168013,13.0,189147
