YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,MONTANA,30000,27889,137922,15.8,163009
1997-01-01,MONTANA,30000,29672,135691,15.5,165547
1998-01-01,MONTANA,30000,31271,138272,15.7,164627
1999-01-01,MONTANA,30000,32098,126835,14.3,162335
2000-01-01,MONTANA,30000,33281,117677,13.3,159988
2001-01-01,MONTANA,30000,33151,124776,14.0,158178
2002-01-01,MONTANA,30000,34105,126154,14.0,155411
2003-01-01,MONTANA,30000,34449,129155,14.2,152382
2004-01-01,MONTANA,30000,35574,125081,13.6,148356
2005-01-01,MONTANA,30000,38503,132226,14.6,146705
2006-01-01,MONTANA,30000,40299,132537,14.4,145416
2007-01-01,MONTANA,30000,43000,131433,14.1,144418
2008-01-01,MONTANA,30000,43948,132971,14.1,142823
2009-01-01,MONTANA,30000,42222,142257,15.0,141899
2010-01-01,MONTANA,30000,42826,142244,14.0,140215
2011-01-01,MONTANA,30000,43714,142756,15.0,138831
2012-01-01,MONTANA,30000,44634,143461,15.0,137604
2013-01-01,MONTANA,30000,45463,144254,15.0,136400
2014-01-01,MONTANA,30000,46196,145122,15.0,135171
2015-01-01,MONTANA,30000,46874,146064,15.0,133931
2016-01-01,MONTANA,30000,47531,147059,15.0,132710
2017-01-01,MONTANA,30000,48182,148078,15.0,131530
2018-01-01,MONTANA,30000,48823,149095,15.0,130397
2019-01-01,MONTANA,30000,49446,150094,15.0,129306
