YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Madera, CA",6039,31644,22239,20.8,21530
1997-01-01,"Madera, CA",6039,30804,24741,22.8,23360
1998-01-01,"Madera, CA",6039,31499,25095,22.9,24132
1999-01-01,"Madera, CA",6039,33103,23769,20.6,24016
2000-01-01,"Madera, CA",6039,35248,24688,20.9,24343
2001-01-01,"Madera, CA",6039,34010,25844,21.2,24465
2002-01-01,"Madera, CA",6039,34432,25869,20.5,24780
2003-01-01,"Madera, CA",6039,36018,24715,18.9,25560
2004-01-01,"Madera, CA",6039,37881,24064,17.9,27188
2005-01-01,"Madera, CA",6039,44655,24389,18.3,27821
2006-01-01,"Madera, CA",6039,39919,28994,21.1,28229
2007-01-01,"Madera, CA",6039,44259,23295,16.9,28960
2008-01-01,"Madera, CA",6039,46066,25275,18.2,29394
2009-01-01,"Madera, CA",6039,42769,28710,20.6,29409
2010-01-01,"Madera, CA",6039,43809,25748,17.0,29334
2011-01-01,"Madera, CA",6039,45801,25866,17.0,29700
2012-01-01,"Madera, CA",6039,45639,26905,18.0,30024
2013-01-01,"Madera, CA",6039,46119,26543,17.0,30249
2014-01-01,"Madera, CA",6039,47026,26500,17.0,30530
2015-01-01,"Madera, CA",6039,47486,26794,17.0,30805
2016-01-01,"Madera, CA",6039,47951,26829,17.0,31043
2017-01-01,"Madera, CA",6039,48517,26857,17.0,31278
2018-01-01,"Madera, CA",6039,48990,26970,17.0,31505
2019-01-01,"Madera, CA",6039,49424,27041,16.0,31715
