YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Madison, NE",31119,33961,3049,8.9,6673
1997-01-01,"Madison, NE",31119,36880,3075,9.0,6677
1998-01-01,"Madison, NE",31119,37198,3426,10.2,6721
1999-01-01,"Madison, NE",31119,36565,3605,10.5,6650
2000-01-01,"Madison, NE",31119,38849,3282,9.5,6530
2001-01-01,"Madison, NE",31119,37922,3466,9.9,6282
2002-01-01,"Madison, NE",31119,38179,3774,10.8,6243
2003-01-01,"Madison, NE",31119,38701,3894,11.2,6330
2004-01-01,"Madison, NE",31119,39701,4057,11.7,6142
2005-01-01,"Madison, NE",31119,40787,4046,11.9,5972
2006-01-01,"Madison, NE",31119,41041,4477,13.1,5818
2007-01-01,"Madison, NE",31119,40044,3817,11.6,5525
2008-01-01,"Madison, NE",31119,43256,3986,12.1,5503
2009-01-01,"Madison, NE",31119,42920,3948,11.9,5506
2010-01-01,"Madison, NE",31119,42805,4149,12.0,5441
2011-01-01,"Madison, NE",31119,43140,4206,12.0,5354
2012-01-01,"Madison, NE",31119,43561,4244,12.0,5269
2013-01-01,"Madison, NE",31119,43969,4283,12.0,5187
2014-01-01,"Madison, NE",31119,44361,4322,13.0,5108
2015-01-01,"Madison, NE",31119,44740,4360,13.0,5031
2016-01-01,"Madison, NE",31119,45107,4398,13.0,4956
2017-01-01,"Madison, NE",31119,45464,4435,13.0,4883
2018-01-01,"Madison, NE",31119,45811,4471,13.0,4812
2019-01-01,"Madison, NE",31119,46149,4506,13.0,4743
