YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Malheur, OR",41045,26324,5837,20.8,5717
1997-01-01,"Malheur, OR",41045,28204,5547,19.6,5889
1998-01-01,"Malheur, OR",41045,29585,5763,20.4,5839
1999-01-01,"Malheur, OR",41045,29325,5291,18.6,5894
2000-01-01,"Malheur, OR",41045,30734,5383,19.1,5861
2001-01-01,"Malheur, OR",41045,29481,5638,20.2,5679
2002-01-01,"Malheur, OR",41045,28891,5527,19.7,5609
2003-01-01,"Malheur, OR",41045,29438,5133,18.3,5594
2004-01-01,"Malheur, OR",41045,30302,5475,19.5,5359
2005-01-01,"Malheur, OR",41045,32036,5899,21.3,5328
2006-01-01,"Malheur, OR",41045,34511,5681,20.4,5431
2007-01-01,"Malheur, OR",41045,36100,4859,17.6,5436
2008-01-01,"Malheur, OR",41045,36403,5841,21.3,5382
2009-01-01,"Malheur, OR",41045,35788,6356,23.3,5207
2010-01-01,"Malheur, OR",41045,36219,6006,21.0,5252
2011-01-01,"Malheur, OR",41045,36643,5915,21.0,5242
2012-01-01,"Malheur, OR",41045,36966,5940,21.0,5211
2013-01-01,"Malheur, OR",41045,37288,5969,21.0,5182
2014-01-01,"Malheur, OR",41045,37623,5991,21.0,5155
2015-01-01,"Malheur, OR",41045,37957,6012,22.0,5130
2016-01-01,"Malheur, OR",41045,38283,6033,22.0,5106
2017-01-01,"Malheur, OR",41045,38600,6055,22.0,5082
2018-01-01,"Malheur, OR",41045,38905,6076,22.0,5060
2019-01-01,"Malheur, OR",41045,39200,6096,22.0,5038
