YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Maricopa, AZ",4013,37583,362298,13.8,402596
1997-01-01,"Maricopa, AZ",4013,40134,355924,12.7,421798
1998-01-01,"Maricopa, AZ",4013,42192,344304,12.0,461260
1999-01-01,"Maricopa, AZ",4013,44054,323288,10.7,476219
2000-01-01,"Maricopa, AZ",4013,47024,322120,10.2,502835
2001-01-01,"Maricopa, AZ",4013,45921,362057,11.1,508817
2002-01-01,"Maricopa, AZ",4013,46038,400631,11.9,534697
2003-01-01,"Maricopa, AZ",4013,46322,443793,12.8,567038
2004-01-01,"Maricopa, AZ",4013,48304,479545,13.3,627113
2005-01-01,"Maricopa, AZ",4013,48752,450439,12.6,652927
2006-01-01,"Maricopa, AZ",4013,52522,464168,12.5,688428
2007-01-01,"Maricopa, AZ",4013,54733,495505,12.9,675138
2008-01-01,"Maricopa, AZ",4013,56511,521208,13.4,692487
2009-01-01,"Maricopa, AZ",4013,53284,599393,15.1,690411
2010-01-01,"Maricopa, AZ",4013,51744,646084,16.0,753420
2011-01-01,"Maricopa, AZ",4013,53536,654812,16.0,820524
2012-01-01,"Maricopa, AZ",4013,57245,649921,15.0,859559
2013-01-01,"Maricopa, AZ",4013,60273,661057,15.0,868121
2014-01-01,"Maricopa, AZ",4013,61163,698527,16.0,868677
2015-01-01,"Maricopa, AZ",4013,60493,749578,17.0,885096
2016-01-01,"Maricopa, AZ",4013,59951,793779,18.0,923428
2017-01-01,"Maricopa, AZ",4013,60747,820964,19.0,971182
2018-01-01,"Maricopa, AZ",4013,62761,836949,19.0,1011451
2019-01-01,"Maricopa, AZ",4013,64945,855281,19.0,1037310
