YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Marin, CA",6041,53266,14669,6.4,26534
1997-01-01,"Marin, CA",6041,60967,16099,7.0,27350
1998-01-01,"Marin, CA",6041,62126,15279,6.6,27706
1999-01-01,"Marin, CA",6041,67785,14805,6.2,28179
2000-01-01,"Marin, CA",6041,72301,14058,5.9,28793
2001-01-01,"Marin, CA",6041,73276,14850,6.3,28789
2002-01-01,"Marin, CA",6041,70854,16158,6.8,28703
2003-01-01,"Marin, CA",6041,66616,17390,7.3,28709
2004-01-01,"Marin, CA",6041,67731,16556,7.0,28506
2005-01-01,"Marin, CA",6041,78009,15315,6.5,28443
2006-01-01,"Marin, CA",6041,81305,19798,8.3,28764
2007-01-01,"Marin, CA",6041,83910,16245,6.8,29081
2008-01-01,"Marin, CA",6041,89909,17007,7.1,29100
2009-01-01,"Marin, CA",6041,86658,17647,7.3,29615
2010-01-01,"Marin, CA",6041,86534,17032,7.0,29567
2011-01-01,"Marin, CA",6041,86280,17091,7.0,29546
2012-01-01,"Marin, CA",6041,86112,17070,7.0,29531
2013-01-01,"Marin, CA",6041,85970,17065,7.0,29519
2014-01-01,"Marin, CA",6041,85856,17057,7.0,29510
2015-01-01,"Marin, CA",6041,85763,17051,7.0,29502
2016-01-01,"Marin, CA",6041,85686,17046,7.0,29497
2017-01-01,"Marin, CA",6041,85623,17042,7.0,29492
2018-01-01,"Marin, CA",6041,85571,17038,7.0,29488
2019-01-01,"Marin, CA",6041,85528,17035,7.0,29485
