YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Marion, TX",48315,20272,2914,27.7,1636
1997-01-01,"Marion, TX",48315,21444,3044,27.7,1670
1998-01-01,"Marion, TX",48315,22539,2523,22.6,1647
1999-01-01,"Marion, TX",48315,24199,2218,20.4,1590
2000-01-01,"Marion, TX",48315,25423,2515,22.9,1523
2001-01-01,"Marion, TX",48315,24541,2617,24.0,1521
2002-01-01,"Marion, TX",48315,23967,2709,24.7,1516
2003-01-01,"Marion, TX",48315,24401,2331,21.2,1443
2004-01-01,"Marion, TX",48315,25975,2338,21.6,1379
2005-01-01,"Marion, TX",48315,27683,2466,22.8,1395
2006-01-01,"Marion, TX",48315,28401,2822,26.1,1362
2007-01-01,"Marion, TX",48315,31043,2649,25.0,1303
2008-01-01,"Marion, TX",48315,31510,2249,21.6,1277
2009-01-01,"Marion, TX",48315,31210,2496,24.6,1235
2010-01-01,"Marion, TX",48315,31591,2835,27.0,1245
2011-01-01,"Marion, TX",48315,32079,2787,26.0,1249
2012-01-01,"Marion, TX",48315,32406,2736,26.0,1243
2013-01-01,"Marion, TX",48315,32623,2734,26.0,1238
2014-01-01,"Marion, TX",48315,32792,2749,26.0,1233
2015-01-01,"Marion, TX",48315,32929,2762,26.0,1231
2016-01-01,"Marion, TX",48315,33040,2770,27.0,1229
2017-01-01,"Marion, TX",48315,33124,2776,27.0,1228
2018-01-01,"Marion, TX",48315,33187,2781,27.0,1227
2019-01-01,"Marion, TX",48315,33232,2785,27.0,1227
