YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Miami, KS",20121,37582,2206,8.7,4214
1997-01-01,"Miami, KS",20121,40625,2373,9.1,4501
1998-01-01,"Miami, KS",20121,42530,2163,8.0,4619
1999-01-01,"Miami, KS",20121,44865,2120,7.6,4718
2000-01-01,"Miami, KS",20121,45263,2034,7.2,4802
2001-01-01,"Miami, KS",20121,45516,2306,8.1,4825
2002-01-01,"Miami, KS",20121,47133,2370,8.2,4779
2003-01-01,"Miami, KS",20121,48893,2332,8.0,4799
2004-01-01,"Miami, KS",20121,51673,2412,8.0,4860
2005-01-01,"Miami, KS",20121,53721,2103,7.1,4806
2006-01-01,"Miami, KS",20121,56177,2340,7.7,4892
2007-01-01,"Miami, KS",20121,59153,2221,7.3,4996
2008-01-01,"Miami, KS",20121,61231,2272,7.5,4986
2009-01-01,"Miami, KS",20121,57705,2757,9.1,4945
2010-01-01,"Miami, KS",20121,59592,2412,7.0,4880
2011-01-01,"Miami, KS",20121,61398,2438,7.0,4929
2012-01-01,"Miami, KS",20121,62272,2495,8.0,4949
2013-01-01,"Miami, KS",20121,63049,2514,8.0,4953
2014-01-01,"Miami, KS",20121,63868,2527,8.0,4958
2015-01-01,"Miami, KS",20121,64646,2544,8.0,4964
2016-01-01,"Miami, KS",20121,65365,2560,8.0,4970
2017-01-01,"Miami, KS",20121,66038,2575,8.0,4975
2018-01-01,"Miami, KS",20121,66669,2589,8.0,4980
2019-01-01,"Miami, KS",20121,67259,2602,8.0,4984
