YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Mohave, AZ",4015,29208,20845,16.4,19431
1997-01-01,"Mohave, AZ",4015,28250,23184,17.6,20844
1998-01-01,"Mohave, AZ",4015,29326,24222,18.0,21987
1999-01-01,"Mohave, AZ",4015,29863,23194,15.1,22519
2000-01-01,"Mohave, AZ",4015,31515,24294,15.4,22795
2001-01-01,"Mohave, AZ",4015,30425,26529,16.2,24022
2002-01-01,"Mohave, AZ",4015,31030,26754,15.7,25094
2003-01-01,"Mohave, AZ",4015,32482,26489,14.9,25920
2004-01-01,"Mohave, AZ",4015,34126,28500,15.4,27375
2005-01-01,"Mohave, AZ",4015,35320,28781,15.6,27342
2006-01-01,"Mohave, AZ",4015,36320,30621,16.0,27951
2007-01-01,"Mohave, AZ",4015,39669,26090,13.5,27910
2008-01-01,"Mohave, AZ",4015,38641,32438,16.8,27687
2009-01-01,"Mohave, AZ",4015,39863,33981,17.8,26909
2010-01-01,"Mohave, AZ",4015,40982,33552,18.0,25976
2011-01-01,"Mohave, AZ",4015,41316,34092,19.0,24782
2012-01-01,"Mohave, AZ",4015,41364,34261,20.0,23339
2013-01-01,"Mohave, AZ",4015,41044,34193,21.0,21707
2014-01-01,"Mohave, AZ",4015,40368,33829,22.0,19946
2015-01-01,"Mohave, AZ",4015,39340,33170,23.0,18123
2016-01-01,"Mohave, AZ",4015,37985,32225,24.0,16312
2017-01-01,"Mohave, AZ",4015,36339,31016,25.0,14591
2018-01-01,"Mohave, AZ",4015,34456,29578,25.0,13039
2019-01-01,"Mohave, AZ",4015,32402,27959,25.0,11733
