YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Monroe, PA",42089,40247,9613,8.1,21072
1997-01-01,"Monroe, PA",42089,40120,10651,8.5,23630
1998-01-01,"Monroe, PA",42089,42667,10776,8.4,24403
1999-01-01,"Monroe, PA",42089,43970,11597,8.5,25275
2000-01-01,"Monroe, PA",42089,46714,10888,7.7,26215
2001-01-01,"Monroe, PA",42089,45820,11417,7.8,27090
2002-01-01,"Monroe, PA",42089,47196,11371,7.4,28145
2003-01-01,"Monroe, PA",42089,48271,13675,8.7,29363
2004-01-01,"Monroe, PA",42089,49918,15018,9.3,31702
2005-01-01,"Monroe, PA",42089,51936,14874,9.4,32660
2006-01-01,"Monroe, PA",42089,51390,16551,10.2,33094
2007-01-01,"Monroe, PA",42089,55928,14631,9.1,34468
2008-01-01,"Monroe, PA",42089,56854,16320,10.1,32538
2009-01-01,"Monroe, PA",42089,54703,16571,10.2,32180
2010-01-01,"Monroe, PA",42089,54401,16037,9.0,33177
2011-01-01,"Monroe, PA",42089,54949,16140,9.0,33370
2012-01-01,"Monroe, PA",42089,55231,16296,9.0,33437
2013-01-01,"Monroe, PA",42089,55389,16383,10.0,33540
2014-01-01,"Monroe, PA",42089,55530,16448,10.0,33635
2015-01-01,"Monroe, PA",42089,55653,16505,10.0,33708
2016-01-01,"Monroe, PA",42089,55753,16552,10.0,33765
2017-01-01,"Monroe, PA",42089,55833,16590,10.0,33811
2018-01-01,"Monroe, PA",42089,55896,16621,10.0,33847
2019-01-01,"Monroe, PA",42089,55947,16645,10.0,33875
