YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Montgomery, IN",18107,36459,2777,7.8,6229
1997-01-01,"Montgomery, IN",18107,38831,3163,8.8,6407
1998-01-01,"Montgomery, IN",18107,39899,3255,9.1,6593
1999-01-01,"Montgomery, IN",18107,40230,3038,8.3,6593
2000-01-01,"Montgomery, IN",18107,42027,3115,8.4,6638
2001-01-01,"Montgomery, IN",18107,41286,3135,8.5,6737
2002-01-01,"Montgomery, IN",18107,41225,3374,9.1,6698
2003-01-01,"Montgomery, IN",18107,41355,3408,9.2,6519
2004-01-01,"Montgomery, IN",18107,43486,3855,10.3,6533
2005-01-01,"Montgomery, IN",18107,44177,4155,11.3,6567
2006-01-01,"Montgomery, IN",18107,45454,3779,10.3,6748
2007-01-01,"Montgomery, IN",18107,48453,3795,10.4,6611
2008-01-01,"Montgomery, IN",18107,47958,4192,11.5,6521
2009-01-01,"Montgomery, IN",18107,47134,4966,13.6,6447
2010-01-01,"Montgomery, IN",18107,48677,4915,13.0,6546
2011-01-01,"Montgomery, IN",18107,49709,4846,13.0,6559
2012-01-01,"Montgomery, IN",18107,50359,4908,13.0,6540
2013-01-01,"Montgomery, IN",18107,50917,5033,13.0,6521
2014-01-01,"Montgomery, IN",18107,51495,5163,14.0,6510
2015-01-01,"Montgomery, IN",18107,52093,5281,14.0,6501
2016-01-01,"Montgomery, IN",18107,52688,5392,14.0,6493
2017-01-01,"Montgomery, IN",18107,53270,5500,15.0,6485
2018-01-01,"Montgomery, IN",18107,53841,5607,15.0,6476
2019-01-01,"Montgomery, IN",18107,54400,5712,15.0,6468
