YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Montgomery, KS",20125,26595,5945,16.0,6594
1997-01-01,"Montgomery, KS",20125,29277,5847,15.9,6518
1998-01-01,"Montgomery, KS",20125,30752,5537,15.1,6515
1999-01-01,"Montgomery, KS",20125,30961,4957,13.9,6500
2000-01-01,"Montgomery, KS",20125,32223,4284,12.2,6338
2001-01-01,"Montgomery, KS",20125,31297,4592,13.3,6300
2002-01-01,"Montgomery, KS",20125,31492,4729,13.8,6118
2003-01-01,"Montgomery, KS",20125,32323,4742,13.8,5813
2004-01-01,"Montgomery, KS",20125,33688,4908,14.5,5590
2005-01-01,"Montgomery, KS",20125,32737,5418,16.2,5442
2006-01-01,"Montgomery, KS",20125,33978,5607,16.6,5411
2007-01-01,"Montgomery, KS",20125,37300,4853,14.5,5468
2008-01-01,"Montgomery, KS",20125,41913,4146,12.4,5757
2009-01-01,"Montgomery, KS",20125,35966,5797,17.4,5705
2010-01-01,"Montgomery, KS",20125,37715,4858,14.0,5750
2011-01-01,"Montgomery, KS",20125,36827,5055,15.0,5787
2012-01-01,"Montgomery, KS",20125,36635,4940,14.0,5799
2013-01-01,"Montgomery, KS",20125,36295,4935,14.0,5796
2014-01-01,"Montgomery, KS",20125,36115,4917,14.0,5781
2015-01-01,"Montgomery, KS",20125,36024,4917,14.0,5759
2016-01-01,"Montgomery, KS",20125,36031,4922,14.0,5737
2017-01-01,"Montgomery, KS",20125,36102,4931,14.0,5717
2018-01-01,"Montgomery, KS",20125,36209,4941,14.0,5702
2019-01-01,"Montgomery, KS",20125,36327,4950,14.0,5692
