YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Nelson, ND",38063,23537,433,11.4,929
1997-01-01,"Nelson, ND",38063,25831,404,11.1,878
1998-01-01,"Nelson, ND",38063,27677,429,12.0,821
1999-01-01,"Nelson, ND",38063,28497,370,10.3,783
2000-01-01,"Nelson, ND",38063,30114,352,10.1,749
2001-01-01,"Nelson, ND",38063,29639,405,12.1,725
2002-01-01,"Nelson, ND",38063,30318,393,11.7,694
2003-01-01,"Nelson, ND",38063,32365,318,9.5,613
2004-01-01,"Nelson, ND",38063,31344,317,9.5,582
2005-01-01,"Nelson, ND",38063,31715,325,10.0,565
2006-01-01,"Nelson, ND",38063,33789,348,11.2,531
2007-01-01,"Nelson, ND",38063,35093,330,10.8,495
2008-01-01,"Nelson, ND",38063,36457,309,10.3,494
2009-01-01,"Nelson, ND",38063,39633,336,11.3,470
2010-01-01,"Nelson, ND",38063,39725,253,8.0,458
2011-01-01,"Nelson, ND",38063,38793,278,9.0,464
2012-01-01,"Nelson, ND",38063,38449,280,9.0,462
2013-01-01,"Nelson, ND",38063,38291,283,9.0,458
2014-01-01,"Nelson, ND",38063,38286,284,9.0,453
2015-01-01,"Nelson, ND",38063,38358,284,9.0,447
2016-01-01,"Nelson, ND",38063,38472,283,9.0,441
2017-01-01,"Nelson, ND",38063,38603,281,9.0,435
2018-01-01,"Nelson, ND",38063,38739,280,9.0,430
2019-01-01,"Nelson, ND",38063,38872,279,9.0,425
