YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Nelson, VA",51125,29553,1892,13.8,2094
1997-01-01,"Nelson, VA",51125,31817,1925,13.7,2092
1998-01-01,"Nelson, VA",51125,33943,1699,11.8,2061
1999-01-01,"Nelson, VA",51125,35492,1491,10.3,2030
2000-01-01,"Nelson, VA",51125,37565,1493,10.3,2087
2001-01-01,"Nelson, VA",51125,37062,1495,10.2,2089
2002-01-01,"Nelson, VA",51125,37513,1638,10.9,2058
2003-01-01,"Nelson, VA",51125,38638,1678,11.2,2058
2004-01-01,"Nelson, VA",51125,40000,1574,10.4,2015
2005-01-01,"Nelson, VA",51125,40173,1770,11.9,2026
2006-01-01,"Nelson, VA",51125,42761,1704,11.3,2004
2007-01-01,"Nelson, VA",51125,46001,1730,11.4,2028
2008-01-01,"Nelson, VA",51125,45551,2009,13.2,2108
2009-01-01,"Nelson, VA",51125,44615,1960,12.7,1935
2010-01-01,"Nelson, VA",51125,49139,1918,12.0,1972
2011-01-01,"Nelson, VA",51125,51262,2113,13.0,2042
2012-01-01,"Nelson, VA",51125,51433,2254,14.0,1997
2013-01-01,"Nelson, VA",51125,53506,2274,14.0,1942
2014-01-01,"Nelson, VA",51125,56877,2353,15.0,1956
2015-01-01,"Nelson, VA",51125,59303,2519,16.0,1968
2016-01-01,"Nelson, VA",51125,61403,2657,16.0,1937
2017-01-01,"Nelson, VA",51125,64517,2767,17.0,1909
2018-01-01,"Nelson, VA",51125,68185,2916,18.0,1904
2019-01-01,"Nelson, VA",51125,71679,3104,19.0,1893
