YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Noble, IN",18113,38455,2507,6.0,7517
1997-01-01,"Noble, IN",18113,40449,2758,6.4,7789
1998-01-01,"Noble, IN",18113,42047,3037,7.0,7812
1999-01-01,"Noble, IN",18113,42016,2986,6.5,7812
2000-01-01,"Noble, IN",18113,43793,3193,6.8,7893
2001-01-01,"Noble, IN",18113,42697,3568,7.7,7952
2002-01-01,"Noble, IN",18113,42934,3668,7.9,7955
2003-01-01,"Noble, IN",18113,43116,3815,8.1,7806
2004-01-01,"Noble, IN",18113,44255,4075,8.7,7789
2005-01-01,"Noble, IN",18113,48445,4109,8.9,7863
2006-01-01,"Noble, IN",18113,45196,4738,10.1,7874
2007-01-01,"Noble, IN",18113,46924,4679,10.1,7945
2008-01-01,"Noble, IN",18113,47651,4654,10.0,7857
2009-01-01,"Noble, IN",18113,43350,6546,13.9,7824
2010-01-01,"Noble, IN",18113,51622,6029,13.0,7806
2011-01-01,"Noble, IN",18113,48816,7182,15.0,7795
2012-01-01,"Noble, IN",18113,52291,7529,16.0,7776
2013-01-01,"Noble, IN",18113,52545,8443,18.0,7756
2014-01-01,"Noble, IN",18113,54831,9186,19.0,7731
2015-01-01,"Noble, IN",18113,56303,10182,21.0,7704
2016-01-01,"Noble, IN",18113,58564,11217,24.0,7673
2017-01-01,"Noble, IN",18113,60777,12431,26.0,7637
2018-01-01,"Noble, IN",18113,63454,13772,29.0,7597
2019-01-01,"Noble, IN",18113,66368,15298,33.0,7552
